"job_llink","job_title","country","remote_flag","posted_date","job_description"
"https://jobs.akamai.com/en/sites/CX_1/job/2752/?keyword=engineering&mode=location","Senior Software Engineer","India","(Remote)","04/01/2026","As part of a Bot Manager Engineering team, you will be focused on building highly usable, reliable, and scalable software solutions for bot threat detection, protection and control feature. Allowing our customers to better manage bot traffic and help improve the internet for millions of people"
"https://jobs.akamai.com/en/sites/CX_1/job/2408/?keyword=engineering&mode=location","Software Engineer II","India","(Remote)","04/01/2026","You will work at the heart of building data systems that are critical for Akamai Control Center. You will join other talented engineers in a cross-functional scrum team owning the design, development, deployment, and maintenance of high volume and velocity data pipelines that power Akamai’s reports."
"https://jobs.akamai.com/en/sites/CX_1/job/1882/?keyword=engineering&mode=location","Senior Engineering Manager - Akamai Inference Cloud (Remote)","United States","(Remote)","04/01/2026","As a Senior Engineering Manager, you will build and lead a high-performing ML engineering team responsible for model validation, quantization, safety, and lifecycle
management across the AIC. You'll drive technical strategy for guardrails, model optimization, and responsible AI practices while recruiting top talent and growing engineers in a rapidly evolving domain."
"https://jobs.akamai.com/en/sites/CX_1/job/1476/?keyword=engineering&mode=location","Senior Software Engineer- Remote","Israel","(Remote)","03/31/2026","You will be designing and building the core systems that power Akamai’s API Security. You will lead efforts to scale our code analysis pipeline, applying code analysis techniques and large language models (LLMs) to extract meaningful insights across polyglot codebases."
"https://jobs.akamai.com/en/sites/CX_1/job/2582/?keyword=engineering&mode=location","Senior II Software Engineer","Canada","(Remote)","04/01/2026","As part of our team, you'll develop software that will improve the speed, reliability and security of web experiences all over the world. You will work collaboratively within your small team and with other teams at Akamai."
"","","","","",""
"https://jobs.akamai.com/en/sites/CX_1/job/2748/?keyword=engineering&mode=location","Software Engineer","Poland","(Remote)","03/24/2026","As a Software Engineer you will be focused on building highly usable, reliable, and robust software solutions that will be at the forefront of handling customer engagements within the company. You will build tools allowing our customers to configure Akamai products using Terraform or CLI focusing primarily on developing software according to best practices to maximize efficiency within the SDLC through automation. Your delivery and deployment are a critical part of our ability to deliver high quality software."
"https://jobs.akamai.com/en/sites/CX_1/job/2741/?keyword=engineering&mode=location","Site Reliability Engineer","United States","(Remote)","04/01/2026","As a Site Reliability Engineer you will be working with python code bases involving complex threat detection algorithms in an ultra-high traffic environment. You would be reading complex code and troubleshooting it and providing solutions. Our team is instrumental in maintaining network stability by improving monitoring processes and developing tools."
"https://jobs.akamai.com/en/sites/CX_1/job/2659/?keyword=engineering&mode=location","Senior Software Engineer II- Remote","United States","(Remote)","03/27/2026",""
"https://jobs.akamai.com/en/sites/CX_1/job/2686/?keyword=engineering&mode=location","Senior Site Reliability Engineer","United States","(Remote)","03/30/2026","In this role, you'll own reliability workstreams for Akamai's serverless inference platform, build automation and tooling, and contribute to architecture and operational decisions. Opportunities exist to take ownership of critical reliability problems end-to-end, partner with product engineering teams, and develop expertise in GPU infrastructure, Kubernetes at scale, and AI inference workloads."
"https://jobs.akamai.com/en/sites/CX_1/job/2680/?keyword=engineering&mode=location","Senior Software Engineer","United States","(Remote)","03/23/2026","As an ML Senior Engineer, you will build and operate systems responsible for model validation, quantization, and safety across the AIC. You'll develop pipelines that scan models for vulnerabilities, apply quantization and optimization techniques, and build guardrails that enforce safety and compliance policies. This role requires hands-on ML experience and deep understanding of modern architectures, inference optimization, and responsible
AI.
#AIC"
"https://jobs.akamai.com/en/sites/CX_1/job/2687/?keyword=engineering&mode=location","Site Reliability Engineer II","United States","(Remote)","03/30/2026","In this role, responsibilities will include automation, monitoring, incident response, and working collaboratively with skilled team members. Candidates should possess expertise in Linux systems, automation, and SRE practices. Daily activities involve coding, improving dashboards, enhancing alerts, and minimizing repetitive tasks. Opportunities exist to focus on GPU infrastructure, Kubernetes, and ensuring reliability for AI workloads within Akamai’s serverless inference platform."
"https://jobs.akamai.com/en/sites/CX_1/job/1798/?keyword=engineering&mode=location","Principal Software Engineer","Poland","(Remote)","02/17/2026","As a Principal Software Engineer, you will lead and mentor multiple engineering teams while shaping platform architecture and strategy. You will define engineering best practices and lead development of DevOps tools ensuring 100% availability and ultra-high performance for data streaming platforms."
"https://jobs.akamai.com/en/sites/CX_1/job/2597/?keyword=engineering&mode=location","Senior Software Development Engineer in Test","India","(Remote)","03/25/2026","As a Senior Software Development Engineer in Test, collaborate with teams to support quality engineering practices. Design and implement test strategies, create automated frameworks, and validate distributed systems operating on Akamai’s global infrastructure. Work closely with developers, QA, release engineers, architects, and program managers to ensure services are tested thoroughly and delivered reliably."
"https://jobs.akamai.com/en/sites/CX_1/job/1799/?keyword=engineering&mode=location","Senior Software Engineer","Poland","(Remote)","02/13/2026","As a Senior Software Engineer, you will join a team of software and platform engineers. Your team will enhance platform core services and will design and develop DevOps tools for managing. 100% availability and  three 9's performance and reliability data streaming platform."
"https://jobs.akamai.com/en/sites/CX_1/job/2707/?keyword=engineering&mode=location","Software Engineer - Akamai Inference Cloud - Remote/Poland","Poland","(Remote)","03/19/2026","As a Software Engineer, contribute to designing, implementing, and operating core platform capabilities for a global AI inference platform. Collaborate with experienced engineers to build secure, scalable, and reliable services supporting workloads across regions. Focus areas include authentication, load balancing, firewalls, Kubernetes orchestration, and APIs. Solid engineering fundamentals, problem-solving skills, and interest in distributed systems and AI infrastructure are essential."
"https://jobs.akamai.com/en/sites/CX_1/job/2058/?keyword=engineering&mode=location","Senior Software Engineer","United States","(Remote)","03/10/2026","We're looking for a talented engineer to help us develop the next generation of cloud platform test tooling. You will develop private cloud platforms, local and VM-based development sandboxes, as well as deployment, provisioning, and monitoring systems."
"https://jobs.akamai.com/en/sites/CX_1/job/2106/?keyword=engineering&mode=location","Software Engineer II","India","(Remote)","02/26/2026","As a Software Engineer II this role is to design, develop, and maintain software solutions that meet business requirements. This position ensures high-quality code delivery through collaboration, testing, and adherence to development standards. It involves analyzing user needs, troubleshooting issues, and contributing to team projects to enhance system functionality and performance."
"https://jobs.akamai.com/en/sites/CX_1/job/2489/?keyword=engineering&mode=location","Senior Software Engineer","India","(Remote)","02/24/2026","As Senior Software Engineer, you'll design, build, and deploy highly scalable, reliable, user-friendly solutions on our infrastructure. You'll collaborate with teams across Akamai to gather requirements, architect solutions, implement features, and perform unit testing. You'll also stay updated on emerging technologies and integrating them to enhance innovation and efficiency."
"https://jobs.akamai.com/en/sites/CX_1/job/2609/?keyword=engineering&mode=location","Software Engineer II","India","(Remote)","03/18/2026","As Software Engineer II, you'll design, build, and deploy highly scalable, reliable, user-friendly solutions on our infrastructure. You'll collaborate with teams across Akamai to gather requirements, architect solutions, implement features, and perform unit testing. You'll also stay updated on emerging technologies and integrating them to enhance innovation and efficiency."
"https://jobs.akamai.com/en/sites/CX_1/job/2685/?keyword=engineering&mode=location","Senior Principal Site Reliability Engineer","Poland","(Remote)","03/27/2026","As Senior Principal SRE for AI, this role involves setting technical direction for building, operating, and scaling AI services. Responsibilities include writing code, designing systems, and solving complex reliability issues. Additionally, mentoring team members, defining technical standards, and promoting engineering best practices are essential. Success depends on achieving influence with product engineering teams through exceptional technical expertise."
"https://jobs.akamai.com/en/sites/CX_1/job/2544/?keyword=engineering&mode=location","Senior Solutions Architect","United States","(Remote)","03/31/2026","As a Senior Solutions Architect, you will strengthen Defense-focused platform offerings leveraging AWS and modern automation practices. Improve reliability, observability, and operational resilience across mission-critical systems. Contribute to architectural standards influencing platform direction and engineering excellence."
"https://jobs.akamai.com/en/sites/CX_1/job/2549/?keyword=engineering&mode=location","Senior Solutions Architect","United States","(Remote)","03/31/2026","As a Senior Solutions Architect, you will contribute to Defense-focused platform offerings integrating Akamai capabilities into mission environments. Solve complex engineering challenges using cloud-native and edge-based architectures. Deliver secure, scalable systems trusted by customers operating in constrained environments."
"https://jobs.akamai.com/en/sites/CX_1/job/2700/?keyword=engineering&mode=location","Senior II Software Engineer - Akamai Inference Cloud - Remote/Poland","Poland","(Remote)","03/19/2026","As a Senior II Software Engineer, you will design and implement core capabilities for a globally distributed AI inference platform. Responsibilities include CDN, gateway, ingress, Kubernetes orchestration, observability, and deployment models. You will build a secure, scalable platform layer supporting authentication, load balancing, rate limiting, firewalls, and OpenAI-compatible APIs. Expertise in distributed systems, cloud-native engineering, and API infrastructure is essential."
"https://jobs.akamai.com/en/sites/CX_1/job/2546/?keyword=engineering&mode=location","Senior Solutions Architect (Colorado Springs)","United States","(Hybrid)","03/30/2026","As a Senior Solutions Architect, you will Integrate secure Akamai platform capabilities directly into Defense mission systems through hands-on deployment and validation. Translate operational requirements into secure, scalable, production-ready solutions across engineering and infrastructure domains. Serve as the primary on-site technical representative ensuring successful integration and sustained operational performance."
"https://jobs.akamai.com/en/sites/CX_1/job/2547/?keyword=engineering&mode=location","Senior Solutions Architect (Hawaii)","United States","(Hybrid)","03/31/2026","As a Senior Solutions Architect, you will integrate secure Akamai platform capabilities directly into Defense mission systems through hands-on deployment and validation. Translate operational requirements into secure, scalable, production-ready solutions across engineering and infrastructure domains. Serve as the primary on-site technical representative ensuring successful integration and sustained operational performance."
"https://jobs.akamai.com/en/sites/CX_1/job/2548/?keyword=engineering&mode=location","Senior II Solutions Architect (Colorado or Hawaii)","United States","(Hybrid)","03/31/2026","As a Senior Solutions Architect II, you will establish and lead Defense-focused platform offerings integrating Akamai capabilities into operational mission environments. Drive architectural direction across cloud-native and edge systems balancing innovation, security, scalability, and operational excellence. Represent engineering leadership on-site, aligning customer objectives with efficient technical execution."
