"tablescraper-selected-row src","tablescraper-selected-row src 2","tablescraper-selected-row src 3","tablescraper-selected-row src 4","tablescraper-selected-row src 5","tablescraper-selected-row src 6","datum-icon","spark-body-larger","datum-icon 2","tablescraper-selected-row","tablescraper-selected-row href","spark-body","tablescraper-selected-row 2","spark-body-small","datum-icon 3","datum-icon 4","tablescraper-selected-row 4"
"https://platform.cstatic-images.com/large/in/v2/92b5eb85-88d0-498e-9813-4de9973e9aa0/e07641b8-eec8-4122-8ed5-c1fd824fd9f0/ty7DuUEi6dpVugMq6WYCGOWdVCU.jpg","https://platform.cstatic-images.com/large/in/v2/92b5eb85-88d0-498e-9813-4de9973e9aa0/e07641b8-eec8-4122-8ed5-c1fd824fd9f0/78VKfRO6KHwLkqGrd9YaQBdP-nY.jpg","https://platform.cstatic-images.com/large/in/v2/92b5eb85-88d0-498e-9813-4de9973e9aa0/e07641b8-eec8-4122-8ed5-c1fd824fd9f0/msA77Enn6Scdw17g86pnVRLxAwI.jpg","https://platform.cstatic-images.com/large/in/v2/92b5eb85-88d0-498e-9813-4de9973e9aa0/e07641b8-eec8-4122-8ed5-c1fd824fd9f0/SO5yCd4EGIoHCSUVqHDV3SJkqao.jpg","https://platform.cstatic-images.com/large/in/v2/92b5eb85-88d0-498e-9813-4de9973e9aa0/e07641b8-eec8-4122-8ed5-c1fd824fd9f0/6I9JAAIADHmoKf_su6d13IeraLI.jpg","https://platform.cstatic-images.com/large/in/v2/92b5eb85-88d0-498e-9813-4de9973e9aa0/e07641b8-eec8-4122-8ed5-c1fd824fd9f0/x85qUEaO9v0E-r9OJ7MpJ3-Ry6k.jpg","Newport News, VA (2,417 mi)","$42,999","4,412 mi.","Est. $790/mo","https://www.cars.com/vehicledetail/4a2bfc12-1056-4f21-9a67-d9004f2ce92d/?attribution_type=isa","Used 2025 Toyota RAV4 Hybrid Limited","Good Deal","Southern Hyundai Newport News","4.7","",""
"https://platform.cstatic-images.com/large/in/v2/28729578-5cd1-5da2-b2ec-1ebf802f213a/9347cfbb-829f-44fc-9098-5944d09c6386/geVsmUN9vB40qtL64TXBlf0RN4M.jpg","https://platform.cstatic-images.com/large/in/v2/28729578-5cd1-5da2-b2ec-1ebf802f213a/9347cfbb-829f-44fc-9098-5944d09c6386/YeorKbX0FF40DbYxWDXlT7t4T1Q.jpg","https://platform.cstatic-images.com/large/in/v2/28729578-5cd1-5da2-b2ec-1ebf802f213a/9347cfbb-829f-44fc-9098-5944d09c6386/_XyjL1MKWlmc9xzwZq-DE7-_FhE.jpg","https://platform.cstatic-images.com/large/in/v2/28729578-5cd1-5da2-b2ec-1ebf802f213a/9347cfbb-829f-44fc-9098-5944d09c6386/sgbFTaoXuEeO9DsiDjmOqwJZWiA.jpg","https://platform.cstatic-images.com/large/in/v2/28729578-5cd1-5da2-b2ec-1ebf802f213a/9347cfbb-829f-44fc-9098-5944d09c6386/f_pUFRGfnUQHUD19YvFanjQOSLQ.jpg","https://platform.cstatic-images.com/large/in/v2/28729578-5cd1-5da2-b2ec-1ebf802f213a/9347cfbb-829f-44fc-9098-5944d09c6386/c9_zPMV0Kj7fSdBtQnFTaqs2Tas.jpg","Madison, WI (1,677 mi)","$23,395","90,254 mi.","Est. $430/mo","https://www.cars.com/vehicledetail/0ec91427-c980-41c2-835b-4b7ec7139e87/?attribution_type=isa","Used 2019 Toyota RAV4 Hybrid SE","Good Deal","Russ Darrow Kia Madison","4.6","$100",""
"https://platform.cstatic-images.com/large/in/v2/583c27d4-37d6-5fbe-8068-07edd3d5d5aa/9ea42230-84b5-4607-bd4f-7b96ed7a80e7/uqLKElXuR73QjDlj6B6IHCqHT9s.jpg","https://platform.cstatic-images.com/large/in/v2/583c27d4-37d6-5fbe-8068-07edd3d5d5aa/9ea42230-84b5-4607-bd4f-7b96ed7a80e7/uuHGxEL8dGNxHW3Qv1DRDn2nMFs.jpg","https://platform.cstatic-images.com/large/in/v2/583c27d4-37d6-5fbe-8068-07edd3d5d5aa/9ea42230-84b5-4607-bd4f-7b96ed7a80e7/qr9c15hh3XMVyUtwvM9X4arSZ-k.jpg","https://platform.cstatic-images.com/large/in/v2/583c27d4-37d6-5fbe-8068-07edd3d5d5aa/9ea42230-84b5-4607-bd4f-7b96ed7a80e7/akOe2ia7hTKLrJLNMpVsPlCmrYA.jpg","https://platform.cstatic-images.com/large/in/v2/583c27d4-37d6-5fbe-8068-07edd3d5d5aa/9ea42230-84b5-4607-bd4f-7b96ed7a80e7/4BrHa0fIaxEDvgC-VgjA_WQlc6A.jpg","https://platform.cstatic-images.com/large/in/v2/583c27d4-37d6-5fbe-8068-07edd3d5d5aa/9ea42230-84b5-4607-bd4f-7b96ed7a80e7/gd34qHXpGt9UwWrtbeRrtwZtvsw.jpg","Manassas, VA (2,339 mi)","$24,795","106,784 mi.","Est. $455/mo","https://www.cars.com/vehicledetail/bb5bdda7-2501-43e7-91d8-fe81b9364b83/","Used 2022 Toyota RAV4 Hybrid XLE","Good Deal","Kargar Motors of Manassas","2.1","",""
"https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/813c0e46-85ef-4608-b25a-b5e25087e094/utsB9UGY5mKRtaDcYEnETttFbug.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/813c0e46-85ef-4608-b25a-b5e25087e094/mrXQ4zG3eahW7Pkmmc1Xo9Loh1o.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/813c0e46-85ef-4608-b25a-b5e25087e094/wMWSYxx6Ql5vWS4J5WWtzU2Trhk.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/813c0e46-85ef-4608-b25a-b5e25087e094/Ose8vdEoZbGHWBNXCGSByzO4v98.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/813c0e46-85ef-4608-b25a-b5e25087e094/XpYSxNV9D6UnqnrEiW1Cg_cEURk.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/813c0e46-85ef-4608-b25a-b5e25087e094/B56G9gkszVu_pFL68rz6y1jg7fc.jpg","Oklahoma City, OK (1,315 mi)","$29,386","82,551 mi.","Est. $540/mo","https://www.cars.com/vehicledetail/d621f086-c93d-45cf-9320-e76d5004c7fb/","Used 2023 Toyota RAV4 Hybrid Limited","Good Deal","Jim Norton Toyota OKC","","",""
"https://platform.cstatic-images.com/large/in/v2/9c42091c-e514-52db-a504-5aac0ebf08d7/dbdb49ce-3651-422a-8da3-8b094bdfad71/ObKRScz6p_NoIldTmYVoR6rE1FM.jpg","https://platform.cstatic-images.com/large/in/v2/9c42091c-e514-52db-a504-5aac0ebf08d7/dbdb49ce-3651-422a-8da3-8b094bdfad71/20tZwSsvRLNHvcxVQmYeZUDsGRI.jpg","https://platform.cstatic-images.com/large/in/v2/9c42091c-e514-52db-a504-5aac0ebf08d7/dbdb49ce-3651-422a-8da3-8b094bdfad71/gpaA14CUTrCkyemAD0hX-ROdlBU.jpg","https://platform.cstatic-images.com/large/in/v2/9c42091c-e514-52db-a504-5aac0ebf08d7/dbdb49ce-3651-422a-8da3-8b094bdfad71/rHcj95py9TgyiDieo2oRS4q6C58.jpg","https://platform.cstatic-images.com/large/in/v2/9c42091c-e514-52db-a504-5aac0ebf08d7/dbdb49ce-3651-422a-8da3-8b094bdfad71/FHsKYowpAzfFx6sq0jbQOYr52Bk.jpg","https://platform.cstatic-images.com/large/in/v2/9c42091c-e514-52db-a504-5aac0ebf08d7/dbdb49ce-3651-422a-8da3-8b094bdfad71/f4P7KIx3BXMJBAjT7MBsi5NMw2A.jpg","Des Moines, IA (1,461 mi)","$20,900","86,973 mi.","Est. $384/mo","https://www.cars.com/vehicledetail/a1f2a265-fd3e-4eb2-b9c9-f671d1565f0f/","Used 2016 Toyota RAV4 Hybrid Limited","Good Deal","Willis Automotive","4.7","",""
"https://platform.cstatic-images.com/large/in/v2/37e83fc2-ae32-5956-bc59-b9686e772837/2e487767-fb7d-477f-8ab7-52ae22896815/LBKsCGbYMMdf-6APjSzU0WEqEEI.jpg","https://platform.cstatic-images.com/large/in/v2/37e83fc2-ae32-5956-bc59-b9686e772837/2e487767-fb7d-477f-8ab7-52ae22896815/WqAi0hCuwgK2FGEqO0Eyq6VJMGE.jpg","https://platform.cstatic-images.com/large/in/v2/37e83fc2-ae32-5956-bc59-b9686e772837/2e487767-fb7d-477f-8ab7-52ae22896815/DzZeCawUFidpcN-A3Jw9FCh9AiI.jpg","https://platform.cstatic-images.com/large/in/v2/37e83fc2-ae32-5956-bc59-b9686e772837/2e487767-fb7d-477f-8ab7-52ae22896815/4OrlL9OWsHMct8nbjpkxXcES29Q.jpg","https://platform.cstatic-images.com/large/in/v2/37e83fc2-ae32-5956-bc59-b9686e772837/2e487767-fb7d-477f-8ab7-52ae22896815/AnvDzmkazg0JalOIJ8JSYY4bHJk.jpg","https://platform.cstatic-images.com/large/in/v2/37e83fc2-ae32-5956-bc59-b9686e772837/2e487767-fb7d-477f-8ab7-52ae22896815/A6VpTg_OBDXNsTOaD6KFHMvJB8g.jpg","Kalamazoo, MI (1,874 mi)","$18,827","156,707 mi.","Est. $346/mo","https://www.cars.com/vehicledetail/509e5d01-8091-4856-b48e-eea35be8ba96/","Used 2019 Toyota RAV4 Hybrid SE","Good Deal","DeNooyer Chevrolet","4.8","$168",""
"https://platform.cstatic-images.com/large/in/v2/7b61f235-d051-5a16-8b4d-9835294a5802/d4701dfb-d929-41ba-a5a7-cb24c557da5f/l1g0dXz-v4orcCuhAKY1TcA17bI.jpg","https://platform.cstatic-images.com/large/in/v2/7b61f235-d051-5a16-8b4d-9835294a5802/d4701dfb-d929-41ba-a5a7-cb24c557da5f/cwYCChgeLSBWtzgTGs8CMI2OOeI.jpg","https://platform.cstatic-images.com/large/in/v2/7b61f235-d051-5a16-8b4d-9835294a5802/d4701dfb-d929-41ba-a5a7-cb24c557da5f/qc4DluoLfoUWU_krlfqhOFygoEc.jpg","https://platform.cstatic-images.com/large/in/v2/7b61f235-d051-5a16-8b4d-9835294a5802/d4701dfb-d929-41ba-a5a7-cb24c557da5f/eMnySn3REk3liU05wMAC-S_LHP0.jpg","https://platform.cstatic-images.com/large/in/v2/7b61f235-d051-5a16-8b4d-9835294a5802/d4701dfb-d929-41ba-a5a7-cb24c557da5f/7eadVEQek95oItlpbvtrWBtmE6Y.jpg","https://platform.cstatic-images.com/large/in/v2/7b61f235-d051-5a16-8b4d-9835294a5802/d4701dfb-d929-41ba-a5a7-cb24c557da5f/SUu57Tpi4FZX_HYS2QxkWvTRPv8.jpg","Chattanooga, TN (1,992 mi)","$27,529","119,897 mi.","Est. $506/mo","https://www.cars.com/vehicledetail/6526fc59-fc99-4c22-a095-fef2865ca10c/","Used 2023 Toyota RAV4 Hybrid Limited","Good Deal","Mountain View Ford","4.7","$1.3K",""
"https://platform.cstatic-images.com/large/in/v2/2e6c03fa-2c30-4d7c-b92e-18b36428ca4c/eb461922-597e-4f08-99c6-142a6ee6ba24/J3Klps2MhT4gjvGdEh5IwuuUk6M.jpg","https://platform.cstatic-images.com/large/in/v2/2e6c03fa-2c30-4d7c-b92e-18b36428ca4c/eb461922-597e-4f08-99c6-142a6ee6ba24/hKZtOB6IwAvIgmzlAmbUOy5M79I.jpg","https://platform.cstatic-images.com/large/in/v2/2e6c03fa-2c30-4d7c-b92e-18b36428ca4c/eb461922-597e-4f08-99c6-142a6ee6ba24/HLYrKk9ZB2CR3CQQi_ked1mKe34.jpg","https://platform.cstatic-images.com/large/in/v2/2e6c03fa-2c30-4d7c-b92e-18b36428ca4c/eb461922-597e-4f08-99c6-142a6ee6ba24/N1LRWAnHVl_ciRSdhooRWeE0cNU.jpg","https://platform.cstatic-images.com/large/in/v2/2e6c03fa-2c30-4d7c-b92e-18b36428ca4c/eb461922-597e-4f08-99c6-142a6ee6ba24/fLGJ6asoPD84wxI9NFZubmwd24A.jpg","https://platform.cstatic-images.com/large/in/v2/2e6c03fa-2c30-4d7c-b92e-18b36428ca4c/eb461922-597e-4f08-99c6-142a6ee6ba24/rnfXsFm4o_CtIYeIP5VT_Wvj3S8.jpg","Marietta, OH (2,123 mi)","$35,152","5,774 mi.","Est. $646/mo","https://www.cars.com/vehicledetail/f9dddc2f-f78b-4f0b-b5f8-498ed78f1d33/?attribution_type=isa","Used 2025 Toyota RAV4 Hybrid XLE","Good Deal","Victory Toyota Marietta","4.4","","High Demand"
"https://platform.cstatic-images.com/large/in/v2/20ca5135-ac91-5796-a706-185b3ee9868d/6b1b9983-22b7-4031-9c97-04dcfc86d2e9/G68XrjVti3UzmRt_4XuDzad-De8.jpg","https://platform.cstatic-images.com/large/in/v2/20ca5135-ac91-5796-a706-185b3ee9868d/6b1b9983-22b7-4031-9c97-04dcfc86d2e9/-8gfP3_wxCFT0bMWZxqTMZVo7u4.jpg","https://platform.cstatic-images.com/large/in/v2/20ca5135-ac91-5796-a706-185b3ee9868d/6b1b9983-22b7-4031-9c97-04dcfc86d2e9/laJtjRd-z_iUOhbQbJx-L3k7NvY.jpg","https://platform.cstatic-images.com/large/in/v2/20ca5135-ac91-5796-a706-185b3ee9868d/6b1b9983-22b7-4031-9c97-04dcfc86d2e9/U7s3FurY9WtHryx6rOgrueRVZNI.jpg","https://platform.cstatic-images.com/large/in/v2/20ca5135-ac91-5796-a706-185b3ee9868d/6b1b9983-22b7-4031-9c97-04dcfc86d2e9/gDlvDo4b6I0Ib-1MU3ISVIlaVmM.jpg","https://platform.cstatic-images.com/large/in/v2/20ca5135-ac91-5796-a706-185b3ee9868d/6b1b9983-22b7-4031-9c97-04dcfc86d2e9/PKvRVg5sSSZSr9aSVhcuk9vTJds.jpg","Naugatuck, CT (2,524 mi)","$27,995","65,549 mi.","Est. $514/mo","https://www.cars.com/vehicledetail/06f4e20a-030e-4120-aaee-2fab2f961787/","Used 2023 Toyota RAV4 Hybrid XLE","Good Deal","J & M Automotive","4.9","",""
"https://platform.cstatic-images.com/large/in/v2/eebf892b-94d1-5e26-951b-d3086e6f7b07/6ab8d4f9-fa8a-4d70-9cb0-2e0a2b3244b4/6qgcv42GU_5bB1nupntnS9ahisQ.jpg","https://platform.cstatic-images.com/large/in/v2/eebf892b-94d1-5e26-951b-d3086e6f7b07/6ab8d4f9-fa8a-4d70-9cb0-2e0a2b3244b4/33zxYPa-T1eiGJ8gmKvz3k-GC18.jpg","https://platform.cstatic-images.com/large/in/v2/eebf892b-94d1-5e26-951b-d3086e6f7b07/6ab8d4f9-fa8a-4d70-9cb0-2e0a2b3244b4/7a8nKGu7P_z91pXR9yCJXFy1S9c.jpg","https://platform.cstatic-images.com/large/in/v2/eebf892b-94d1-5e26-951b-d3086e6f7b07/6ab8d4f9-fa8a-4d70-9cb0-2e0a2b3244b4/VIcmFpC0rNOTPpJhCnEbLR-UD5E.jpg","https://platform.cstatic-images.com/large/in/v2/eebf892b-94d1-5e26-951b-d3086e6f7b07/6ab8d4f9-fa8a-4d70-9cb0-2e0a2b3244b4/EKO07ojrhhkl1Iwp1xQKnMvy5Ng.jpg","https://platform.cstatic-images.com/large/in/v2/eebf892b-94d1-5e26-951b-d3086e6f7b07/6ab8d4f9-fa8a-4d70-9cb0-2e0a2b3244b4/nCFYVlq-Grdyfxr3hC2SQLrwNPo.jpg","New London, CT (2,572 mi)","$18,795","83,954 mi.","Est. $345/mo","https://www.cars.com/vehicledetail/ddcc8da8-8efb-4ab2-bdf8-04e3f4479ba4/","Used 2018 Toyota RAV4 Hybrid","Good Deal","Secor Volvo","4.8","",""
