,main href,label,meta,result-posted-date,result-location,priceinfo,year,model,make
0,https://sfbay.craigslist.org/nby/cto/d/petaluma-2020-tesla-model-long-range/7920469548.html,2020 Tesla Model Y Long Range Sport Utility 4D,102k mi,<1hr ago,petaluma,"$16,500",2020,Tesla,Model
1,https://sfbay.craigslist.org/pen/cto/d/south-san-francisco-2011-acura-tsx/7920469471.html,"2011 Acura TSX  139,xxx miles only",140k mi,<1hr ago,south san francisco,"$6,550",2011,Acura,TSX
2,https://sfbay.craigslist.org/sby/cto/d/newark-2013-hyundai-santafee/7920469039.html,2013 hyundaI santafee,253k mi,<1hr ago,Newark,"$3,800",2013,hyundaI,santafee
3,https://sfbay.craigslist.org/nby/cto/d/petaluma-1962-corvair-rampside-pickup/7920469012.html,1962 Corvair Rampside Pickup,65k mi,<1hr ago,petaluma,"$2,200",1962,Corvair,Rampside
4,https://sfbay.craigslist.org/eby/cto/d/walnut-creek-2020-ford-transit-connect/7920468615.html,2020 Ford Transit Connect Cargo Van With Rear Liftgate (1 Owner),119k mi,<1hr ago,walnut creek,"$12,900",2020,Ford,Transit
5,https://sacramento.craigslist.org/cto/d/rio-linda-2014-fiat-500e-electric/7920468443.html,2014 Fiat 500e (Electric),119k mi,<1hr ago,North Natomas,"$1,275",2014,Fiat,500e
6,https://sfbay.craigslist.org/nby/cto/d/santa-rosa-2000-mustang-gold-v6-runs/7920468222.html,"2000 MUSTANG, GOLD, V6 RUNS STRONG,",245k mi,<1hr ago,santa rosa,"$4,300",2000,"MUSTANG,","GOLD,"
7,https://sacramento.craigslist.org/cto/d/galt-2007-toyota-camry-ce/7920468108.html,2007 Toyota Camry CE,265k mi,<1hr ago,galt,"$1,250",2007,Toyota,Camry
8,https://sacramento.craigslist.org/ctd/d/sacramento-2002-toyota-sienna/7920468099.html,2002 Toyota Sienna,189k mi,<1hr ago,Sacramento,"$1,600",2002,Toyota,Sienna
9,https://sacramento.craigslist.org/ctd/d/sacramento-2003-ford-ranger/7920468062.html,2003 Ford Ranger,223k mi,<1hr ago,Sacramento,"$1,850",2003,Ford,Ranger
