"role","job_link","department","city_1","city_2"
"Accounts Receivables Specialist","https://boards.greenhouse.io/cloudflare/jobs/7006451?gh_jid=7006451","Accounting & Finance","Lisbon, Portugal",""
"Contract Negotiator","https://boards.greenhouse.io/cloudflare/jobs/7560645?gh_jid=7560645","Accounting & Finance","Mexico City, Mexico",""
"Corporate Finance Manager","https://boards.greenhouse.io/cloudflare/jobs/7456389?gh_jid=7456389","Accounting & Finance","Austin, US","Dallas, US"
"GL Accountant","https://boards.greenhouse.io/cloudflare/jobs/7411392?gh_jid=7411392","Accounting & Finance","Lisbon, Portugal","Mexico City, Mexico"
"Internal Audit Data Science Engineer","https://boards.greenhouse.io/cloudflare/jobs/7376063?gh_jid=7376063","Accounting & Finance","Bengaluru, India",""
"Internal Audit Intern (Summer 2026)","https://boards.greenhouse.io/cloudflare/jobs/7652742?gh_jid=7652742","Accounting & Finance","Austin, US",""
"Senior Revenue Accountant","https://boards.greenhouse.io/cloudflare/jobs/7522891?gh_jid=7522891","Accounting & Finance","Austin, US",""
"Solution Architect - Varicent","https://boards.greenhouse.io/cloudflare/jobs/7461900?gh_jid=7461900","Accounting & Finance","Austin, US","Toronto, Canada"
"Tax Intern","https://boards.greenhouse.io/cloudflare/jobs/7719060?gh_jid=7719060","Accounting & Finance","Austin, US",""
"Executive Assistant- Network & Infrastructure Strategy","https://boards.greenhouse.io/cloudflare/jobs/7623575?gh_jid=7623575","Admin","Austin, US",""
"Executive Assistant, ANZ","https://boards.greenhouse.io/cloudflare/jobs/7653281?gh_jid=7653281","Admin","Sydney, Australia",""
"Senior Administrative Assistant - GTM","https://boards.greenhouse.io/cloudflare/jobs/7623859?gh_jid=7623859","Admin","Austin, US","New York, US"
"Senior Administrative Assistant- People & Places","https://boards.greenhouse.io/cloudflare/jobs/7595085?gh_jid=7595085","Admin","Austin, US",""
"Senior Administrative Assistant- People Team","https://boards.greenhouse.io/cloudflare/jobs/7599800?gh_jid=7599800","Admin","New York, US","Washington DC, US"
"Public Relations Director","https://boards.greenhouse.io/cloudflare/jobs/7442068?gh_jid=7442068","Communications","Austin, US","San Francisco, US"
"Customer Solutions Engineer","https://boards.greenhouse.io/cloudflare/jobs/7610303?gh_jid=7610303","Customer Support","Paris, France",""
"Customer Solutions Engineer","https://boards.greenhouse.io/cloudflare/jobs/7610334?gh_jid=7610334","Customer Support","Lisbon, Portugal","Spain"
