"cl-app-anchor href","no-image-hidden src","label","meta","meta 2","result-location","cl-thumb src"
"https://sacramento.craigslist.org/lgl/d/lafayette-full-time-paralegal-remote/7920559238.html","https://www.craigslist.org/images/d/7920559238/empty.png","Full-time Paralegal (Remote)","DOE","1h ago","",""
"https://sfbay.craigslist.org/pen/sls/d/san-mateo-become-farmers-insurance-agent/7920542839.html","https://www.craigslist.org/images/d/7920542839/empty.png","BECOME A FARMERS INSURANCE AGENT!","$100,000 - $117,000 base for year 1 wit...Farmers Insurance Group","2h ago","san mateo",""
"https://sacramento.craigslist.org/sls/d/sacramento-wfh-sales-executive-new/7920518878.html","https://www.craigslist.org/images/d/7920518878/empty.png","🚀 [WFH] Sales Executive-NEW AGENT $20,000 CASH PROGRAM! +Residuals!","$7,800-$15,600+ per monthEnterprise Sales Software Inc","3h ago","Jupiter",""
"https://sacramento.craigslist.org/sls/d/vacaville-experienced-d2d-solar-sales/7920516912.html","https://www.craigslist.org/images/d/7920516912/empty.png","Experienced D2D Solar Sales","100% commission based.  Performance bon...Patriot Consulting LLC","4h ago","",""
"https://sfbay.craigslist.org/eby/hea/d/oakland-central-service-processing/7920380756.html","https://www.craigslist.org/images/d/7920380756/empty.png","Central Service/Processing Technician","NegotiableThe Surgery Center of Alta Bates Summit Medical C...","3/10","oakland north / temescal",""
"https://tampa.craigslist.org/hdo/sls/d/brentwood-appointment-setter/7920312542.html","https://www.craigslist.org/images/d/7920312542/empty.png","Appointment setter","Weekly bonusIndoor media","3/10","Brentwood",""
"https://sfbay.craigslist.org/pen/mar/d/belmont-work-from-home-remote/7920293861.html","https://www.craigslist.org/images/d/7920293861/empty.png","Work From Home - Remote Opportunity","Commission pay onlyThe Wellness Company","3/10","belmont",""
"https://stockton.craigslist.org/csr/d/stockton-retail-burnout-start-career/7920105635.html","https://www.craigslist.org/images/d/7920105635/empty.png","Retail Burnout? Start a Career Working Remote","$75,000+Pinnacle Opportunity Group","3/9","",""
"https://austin.craigslist.org/sls/d/brentwood-appointment-setter/7920059710.html","https://www.craigslist.org/images/d/7920059710/empty.png","Appointment setter","Weekly bonusIndoor media","3/9","Brentwood",""
"https://sfbay.craigslist.org/sfc/mar/d/san-francisco-home-based-digital/7920057647.html","https://www.craigslist.org/images/d/7920057647/empty.png","✅ Home-Based Digital Marketing Opportunity (Part-Time or Full-Time)","Sell just 2 websites per week and you c...SiteSwan","3/9","city of san francisco",""
"https://sfbay.craigslist.org/pen/hea/d/redwood-city-now-hiring-registered/7919976910.html","https://www.craigslist.org/images/d/7919976910/empty.png","Now Hiring Registered Dental Hygienist/Dentist willing to do Hygiene","Negotiable based on experience 650 upto...Redwoodshores Dental Care","3/8","redwood shores",""
"https://sfbay.craigslist.org/pen/hea/d/redwood-city-were-hiring-registered/7919975375.html","https://www.craigslist.org/images/d/7919975375/empty.png","We're Hiring: Registered Dental Assistant 🌟","Negotiable based on experience AND SKIL...DENTAL OFFICE","3/8","redwood shores",""
"https://sfbay.craigslist.org/eby/rej/d/walnut-creek-investment-real-estate/7919902968.html","https://www.craigslist.org/images/d/7919902968/empty.png","Investment Real Estate Sales","Commission Only.The Pinza Group","3/8","walnut creek",""
"https://sfbay.craigslist.org/sfc/acc/d/san-francisco-forex-crypto-trader-trade/7919862794.html","","Forex & Crypto Trader - Trade Firm Capital","Performance-based; profit split 60–90%Maverick Currencies","3/8","financial district","https://images.craigslist.org/d/7919862794/00s0s_fiG8wHiRf25_06105D_50x50c.jpg"
"https://sfbay.craigslist.org/sfc/hea/d/san-francisco-energetic-group-fitness/7919803364.html","","Energetic Group Fitness Instructor wanted - Women's Fitness Studio","The position pays $85 per hour long cla...N Motion Fitness Studio For Women","3/7","USF / panhandle","https://images.craigslist.org/d/7919803364/00z0z_fCUOLXiOF5w_0CI0t2_50x50c.jpg"
