"embla__slide__inner href","embla__slide__img src","embla__slide__img src 2","embla__slide__inner href 3","embla__slide__img src 3","embla__slide__img src 4","embla","embla__slide__number 2","price-content","detailed-info-container","detailed-info-container 2","detailed-info-container 3","property-name","property-description","agent-name","agency-name","idx-logo src"
"https://www.homes.com/property/7601-pintail-cir-citrus-heights-ca/hyk3ceh4g0mq9/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/9606461084-621157612/7601-pintail-cir-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/7601-pintail-cir-citrus-heights-ca/hyk3ceh4g0mq9/","https://images.homes.com/listings/117/0706461084-621157612/7601-pintail-cir-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/1706461084-621157612/7601-pintail-cir-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/7601-pintail-cir-citrus-heights-ca/hyk3ceh4g0mq9/"" role=""link"" aria-label=""7601 Pintail Cir, Citrus Heights, CA 95621"" title=""7601 Pintail Cir, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""7601 Pintail Cir, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","43","$149,900","3 Beds","2 Baths","1,440 Sq Ft","7601 Pintail Cir, Citrus Heights, CA 95621","Welcome to Sierra Meadows Mobile Estates, a desirable senior community offering comfort, space, and exceptional amenities. This beautifully maintained double wide 3-bedroom, 2-bath manufactured home showcases true pride of ownership and features a spacious, well-designed floor plan. Enjoy the expansive great room feel with a large family room, living room, dining area, and kitchen all seamlessly","Kelly McCarthy","eXp Realty of California Inc.","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/6845-caywood-ct-citrus-heights-ca/ng8ey7sff7snz/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/6270589974-803217612/6845-caywood-ct-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/6845-caywood-ct-citrus-heights-ca/ng8ey7sff7snz/","https://images.homes.com/listings/117/5370589974-803217612/6845-caywood-ct-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/9370589974-803217612/6845-caywood-ct-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/6845-caywood-ct-citrus-heights-ca/ng8ey7sff7snz/"" role=""link"" aria-label=""6845 Caywood Ct, Citrus Heights, CA 95621"" title=""6845 Caywood Ct, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""6845 Caywood Ct, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","56","$165,000","2 Beds","2 Baths","1,536 Sq Ft","6845 Caywood Ct, Citrus Heights, CA 95621","Welcome to Lakeview Village, where comfort, style, and community come together. This spacious 1,536 sq ft home offers 2 generous bedrooms, including a lovely primary suite with a private bathroom featuring a separate soaking tub and shower stall. Enjoy a separate formal living and dining room plus a comfortable family room, providing plenty of space to relax or entertain. The kitchen features","Michelle Nosal","Windermere Signature Properties Fair Oaks","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/77168-lauppe-ln-citrus-heights-ca/v487nhdfndc4s/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/6559382974-784464612/77168-lauppe-ln-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/77168-lauppe-ln-citrus-heights-ca/v487nhdfndc4s/","https://images.homes.com/listings/117/3889382974-784464612/77168-lauppe-ln-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/0989382974-784464612/77168-lauppe-ln-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/77168-lauppe-ln-citrus-heights-ca/v487nhdfndc4s/"" role=""link"" aria-label=""77168 Lauppe Ln, Citrus Heights, CA 95621"" title=""77168 Lauppe Ln, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""77168 Lauppe Ln, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","40","$99,000","3 Beds","2 Baths","1,440 Sq Ft","77168 Lauppe Ln, Citrus Heights, CA 95621","Welcome to Oak Grove Estates, a sought-after 55+ community offering comfort, connection, and low-maintenance living. This rare 3-bedroom, 2-bath home offers 1,440 sq ft with vaulted ceilings in the living/dining room and a separate family room perfect for relaxing or entertaining. The kitchen opens to the spacious family room and features a charming curved counter and abundant storage. Enjoy the","Michelle Nosal","Windermere Signature Properties Fair Oaks","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/7600-golden-eye-ln-citrus-heights-ca-unit-43/vkjmkx601m6sz/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/6329897054-066032402/7600-golden-eye-ln-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/7600-golden-eye-ln-citrus-heights-ca-unit-43/vkjmkx601m6sz/","https://images.homes.com/listings/117/0931851054-066032402/7600-golden-eye-ln-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/4931851054-066032402/7600-golden-eye-ln-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/7600-golden-eye-ln-citrus-heights-ca-unit-43/vkjmkx601m6sz/"" role=""link"" aria-label=""7600 Golden Eye Ln Unit 43, Citrus Heights, CA 95621"" title=""7600 Golden Eye Ln Unit 43, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""7600 Golden Eye Ln Unit 43, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","40","$199,900","3 Beds","2 Baths","1,136 Sq Ft","7600 Golden Eye Ln Unit 43, Citrus Heights, CA 95621","Welcome to Sierra Meadow Mobile Estates, a highly desired 55+ gated community! This beautifully remodeled 3-bedroom, 2-bath manufactured home has been completely updated from top to bottom. Inside, you'll find brand-new sheetrock throughout, dual-pane windows, LVP and carpet flooring, fresh interior and exterior paint, new fixtures, and a stunning new kitchen. The open and bright floor plan","Kelly McCarthy","eXp Realty of California Inc.","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/6965-radiance-cir-citrus-heights-ca/jpz7ecgz8npcj/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/2466119864-779869212/6965-radiance-cir-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/6965-radiance-cir-citrus-heights-ca/jpz7ecgz8npcj/","https://images.homes.com/listings/117/3666119864-779869212/6965-radiance-cir-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/2866119864-779869212/6965-radiance-cir-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/6965-radiance-cir-citrus-heights-ca/jpz7ecgz8npcj/"" role=""link"" aria-label=""6965 Radiance Cir, Citrus Heights, CA 95621"" title=""6965 Radiance Cir, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""6965 Radiance Cir, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","19","$179,950","2 Beds","2 Baths","1,440 Sq Ft","6965 Radiance Cir, Citrus Heights, CA 95621","Clean, well-kept home in the 55+ Lakeview Village community, set on a quiet circle with covered parking and a low-maintenance yard. There's room for a garden if you want it, plus a secluded covered patio for relaxing or entertaining. Inside, the home offers large rooms and a separate laundry room with a built-in desk area that works well for an office or crafts. Newer HVAC already in place.","Pierce Plam","Windermere Signature Properties Roseville/Granite Bay","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/7301-spicer-dr-citrus-heights-ca/cx5qy4kfhbbwm/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/3187107084-773549612/7301-spicer-dr-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/7301-spicer-dr-citrus-heights-ca/cx5qy4kfhbbwm/","https://images.homes.com/listings/117/6187107084-773549612/7301-spicer-dr-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/9187107084-773549612/7301-spicer-dr-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/7301-spicer-dr-citrus-heights-ca/cx5qy4kfhbbwm/"" role=""link"" aria-label=""7301 Spicer Dr, Citrus Heights, CA 95621"" title=""7301 Spicer Dr, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""7301 Spicer Dr, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","42","$595,000","3 Beds","2 Baths","1,792 Sq Ft","7301 Spicer Dr, Citrus Heights, CA 95621","Welcome to this single-story 3 bedroom, 2 bath home in a highly desirable Citrus Heights community, featuring a welcoming double-door entryway, vaulted ceilings, recessed lighting, and crown molding that create a bright, spacious feel. The living room showcases a striking floor-to-ceiling brick fireplace and opens seamlessly to the adjacent flex room and formal dining area, offering effortless","Parm Atwal","KW Sac Metro","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/8321-driftwood-ln-citrus-heights-ca/kje5pdqwjw90e/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/3498463774-788608512/8321-driftwood-ln-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/8321-driftwood-ln-citrus-heights-ca/kje5pdqwjw90e/","https://images.homes.com/listings/117/6598463774-788608512/8321-driftwood-ln-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/6698463774-788608512/8321-driftwood-ln-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/8321-driftwood-ln-citrus-heights-ca/kje5pdqwjw90e/"" role=""link"" aria-label=""8321 Driftwood Ln, Citrus Heights, CA 95610"" title=""8321 Driftwood Ln, Citrus Heights, CA 95610"">
                                    <img class=""embla__slide__img image-container"" alt=""8321 Driftwood Ln, Citrus Heights, CA 95610"" />
                                </a>
                            </div>
                        </div>","43","$140,000","2 Beds","2 Baths","1,344 Sq Ft","8321 Driftwood Ln, Citrus Heights, CA 95610","Welcome home to this beautifully cared-for 2-bedroom, 2-bathroom home offering 1,344 sq ft of comfortable living in the award-winning Big Oak Mobile Home Park, a senior community celebrated for its peaceful setting and active lifestyle. This inviting home offers a formal living and dining room, plus a spacious family room, providing wonderful flexibility for both everyday living and entertaining.","Michelle Nosal","Windermere Signature Properties Fair Oaks","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/6834-caywood-ct-citrus-heights-ca/yj71ljfbm3cz3/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/0394770314-385697191/6834-caywood-ct-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/6834-caywood-ct-citrus-heights-ca/yj71ljfbm3cz3/","https://images.homes.com/listings/117/0694770314-385697191/6834-caywood-ct-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/1894770314-385697191/6834-caywood-ct-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/6834-caywood-ct-citrus-heights-ca/yj71ljfbm3cz3/"" role=""link"" aria-label=""6834 Caywood Ct, Citrus Heights, CA 95621"" title=""6834 Caywood Ct, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""6834 Caywood Ct, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","20","$169,900","2 Beds","2 Baths","1,248 Sq Ft","6834 Caywood Ct, Citrus Heights, CA 95621","Welcome to your dream home in Lakeview Village, a premier 55+ gated community offering a blend of tranquility and vibrant living. This charming residence is perfectly located at the end of a cul-de-sac, providing unparalleled seclusion and a private yard ideal for relaxation, entertaining, or enjoying time with your pets. The home boasts two inviting patio spaces a covered patio for outdoor","Pierce Plam","Windermere Signature Properties Roseville/Granite Bay","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/7656-pratt-ave-citrus-heights-ca/3m8s9tkle1qns/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/114/9414771084-013657612/7656-pratt-ave-citrus-heights-ca-primaryphoto.jpg?t=p","https://www.homes.com/property/7656-pratt-ave-citrus-heights-ca/3m8s9tkle1qns/","https://images.homes.com/listings/111/2514771084-013657612/7656-pratt-ave-citrus-heights-ca-buildingphoto-2.jpg?t=p","https://images.homes.com/listings/111/3514771084-013657612/7656-pratt-ave-citrus-heights-ca-buildingphoto-3.jpg?t=p","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/7656-pratt-ave-citrus-heights-ca/3m8s9tkle1qns/"" role=""link"" aria-label=""7656 Pratt Ave, Citrus Heights, CA 95610"" title=""7656 Pratt Ave, Citrus Heights, CA 95610"">
                                    <img class=""embla__slide__img image-container"" alt=""7656 Pratt Ave, Citrus Heights, CA 95610"" />
                                </a>
                            </div>
                        </div>","4","$499,999","4 Beds","2 Baths","1,568 Sq Ft","7656 Pratt Ave, Citrus Heights, CA 95610","Meticulously cared for turnkey 4 bedroom, 2 bathroom home in a peaceful rural setting of Citrus Heights. Freshly painted and move in ready. Enjoy mature fruit trees and a generous garden area with room to grow your own food. The spacious backyard offers ample space for a pool, ADU, or outdoor entertaining. Snuggle by the wood burning fireplace on a rainy day, or enjoy the quiet of the backyard","Ruth Carter","1st Choice Realty & Associates","https://images.homes.com/brands/118/7121_aspect.png?t=p"
"https://www.homes.com/property/6616-silver-springs-ct-citrus-heights-ca/2nqcmj8mnf4f5/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/5599021224-722074491/6616-silver-springs-ct-citrus-heights-ca-primaryphoto.jpg","https://www.homes.com/property/6616-silver-springs-ct-citrus-heights-ca/2nqcmj8mnf4f5/","https://images.homes.com/listings/117/3333121224-722074491/6616-silver-springs-ct-citrus-heights-ca-buildingphoto-2.jpg","https://images.homes.com/listings/117/7433121224-722074491/6616-silver-springs-ct-citrus-heights-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/6616-silver-springs-ct-citrus-heights-ca/2nqcmj8mnf4f5/"" role=""link"" aria-label=""6616 Silver Springs Ct, Citrus Heights, CA 95621"" title=""6616 Silver Springs Ct, Citrus Heights, CA 95621"">
                                    <img class=""embla__slide__img image-container"" alt=""6616 Silver Springs Ct, Citrus Heights, CA 95621"" />
                                </a>
                            </div>
                        </div>","18","$174,995","2 Beds","2 Baths","1,344 Sq Ft","6616 Silver Springs Ct, Citrus Heights, CA 95621","Welcome to your charming home in Lakeview Village, Citrus Heightsa peaceful retreat within an active 55+ community. Situated on a quiet cul-de-sac, this inviting property offers a secluded yard perfect for relaxing or entertaining privately. Inside, an open floorplan seamlessly connects living, dining, and kitchen spaces, creating an airy and comfortable atmosphere. Lakeview Village residents","Pierce Plam","Windermere Signature Properties Roseville/Granite Bay","https://images.homes.com/brands/118/7121_aspect.png?t=p"
