"embla__slide__inner href","embla__slide__img src","embla__slide__img src 2","embla__slide__inner href 3","embla__slide__img src 3","embla__slide__inner href 4","embla__slide__img src 4","embla","embla__slide__number","image-counter","embla__slide__number 2","price-content","detailed-info-container","detailed-info-container 2","detailed-info-container 3","property-name","property-description","agent-name","agency-name","idx-logo src","for-sale-content-container href","for-sale-content-container","status-pill","price-container","builder-name","builder-type"
"https://www.homes.com/property/968-carter-st-folsom-ca/tfg9k8vlpe9j5/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/9380259084-901120712/968-carter-st-folsom-ca-primaryphoto.jpg","https://www.homes.com/property/968-carter-st-folsom-ca/tfg9k8vlpe9j5/","https://images.homes.com/listings/117/5580259084-901120712/968-carter-st-folsom-ca-buildingphoto-2.jpg","https://www.homes.com/property/968-carter-st-folsom-ca/tfg9k8vlpe9j5/","https://images.homes.com/listings/117/6680259084-901120712/968-carter-st-folsom-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/968-carter-st-folsom-ca/tfg9k8vlpe9j5/"" role=""link"" aria-label=""968 Carter St, Folsom, CA 95630"" title=""968 Carter St, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""968 Carter St, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","35","$675,000","3 Beds","2 Baths","1,506 Sq Ft","968 Carter St, Folsom, CA 95630","Hard to beat this location! Welcome to this updated single-story home in the heart of Folsom! Offering 3 bedrooms, 2 bathrooms, and just over 1,500 square feet, this home combines comfort, style, and an ideal layout for modern living. Inside, you'll find luxury vinyl plank flooring throughout the living areas, creating a clean, contemporary look. The updated kitchen features new countertops,","Scott Brown","RE/MAX Gold","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/968-carter-st-folsom-ca/tfg9k8vlpe9j5/","968 Carter St, Folsom, CA 95630","","","",""
"https://www.homes.com/property/701-ferrier-way-folsom-ca/5lvlhzdxdssxy/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/7833056874-264342612/701-ferrier-way-folsom-ca-primaryphoto.jpg","https://www.homes.com/property/701-ferrier-way-folsom-ca/5lvlhzdxdssxy/","https://images.homes.com/listings/117/9833056874-264342612/701-ferrier-way-folsom-ca-buildingphoto-2.jpg","https://www.homes.com/property/701-ferrier-way-folsom-ca/5lvlhzdxdssxy/","https://images.homes.com/listings/117/0933056874-264342612/701-ferrier-way-folsom-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/701-ferrier-way-folsom-ca/5lvlhzdxdssxy/"" role=""link"" aria-label=""701 Ferrier Way, Folsom, CA 95630"" title=""701 Ferrier Way, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""701 Ferrier Way, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","34","$699,000","4 Beds","3 Baths","1,998 Sq Ft","701 Ferrier Way, Folsom, CA 95630","Location, Location, Location! Discover this fully renovated beautiful home in the desirable Enclave community of Folsom perfectly positioned on a premium corner lot! This 4-bedroom, 3-bathroom gem features a bright, spacious layout with separate living and family areas ideal for entertaining or relaxing. Enjoy brand-new carpet throughout, freshly painted walls, colorful updated cabinets, and","Bobby Shah","Xpert Home Realty","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/701-ferrier-way-folsom-ca/5lvlhzdxdssxy/","701 Ferrier Way, Folsom, CA 95630","","","",""
"https://www.homes.com/property/291-meadowrock-way-folsom-ca/dmrgbgyh5yppd/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/5428488944-414371402/291-meadowrock-way-folsom-ca-primaryphoto.jpg","https://www.homes.com/property/291-meadowrock-way-folsom-ca/dmrgbgyh5yppd/","https://images.homes.com/listings/117/1408488944-414371402/291-meadowrock-way-folsom-ca-buildingphoto-2.jpg","https://www.homes.com/property/291-meadowrock-way-folsom-ca/dmrgbgyh5yppd/","https://images.homes.com/listings/117/5408488944-414371402/291-meadowrock-way-folsom-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/291-meadowrock-way-folsom-ca/dmrgbgyh5yppd/"" role=""link"" aria-label=""291 Meadowrock Way, Folsom, CA 95630"" title=""291 Meadowrock Way, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""291 Meadowrock Way, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","34","$215,000","2 Beds","2 Baths","1,536 Sq Ft","291 Meadowrock Way, Folsom, CA 95630","Fresh, bright, and move-in ready! This super clean home features newer LVP flooring and carpet, dual-pane windows, and plenty of natural light throughout. Enjoy both an outdoor patio and an enclosed patioperfect for year-round livingas well as a large storage shed. Corner lot with no neighbors on one side, you'll appreciate the added privacy. Located in Pinebrook Mobile Home Park, one of Folsom's","Pierce Plam","Windermere Signature Properties Roseville/Granite Bay","https://images.homes.com/brands/118/7121_aspect.png?t=p","https://www.homes.com/property/291-meadowrock-way-folsom-ca/dmrgbgyh5yppd/","291 Meadowrock Way, Folsom, CA 95630","","","",""
"https://www.homes.com/property/1160-cobblefields-ct-folsom-ca/zdh8lgf7ltqen/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/9398996854-376384802/1160-cobblefields-ct-folsom-ca-primaryphoto.jpg","https://www.homes.com/property/1160-cobblefields-ct-folsom-ca/zdh8lgf7ltqen/","https://images.homes.com/listings/117/4498996854-376384802/1160-cobblefields-ct-folsom-ca-buildingphoto-2.jpg","https://www.homes.com/property/1160-cobblefields-ct-folsom-ca/zdh8lgf7ltqen/","https://images.homes.com/listings/117/6498996854-376384802/1160-cobblefields-ct-folsom-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1160-cobblefields-ct-folsom-ca/zdh8lgf7ltqen/"" role=""link"" aria-label=""1160 Cobblefields Ct, Folsom, CA 95630"" title=""1160 Cobblefields Ct, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""1160 Cobblefields Ct, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","26","$708,500","3 Beds","2 Baths","1,506 Sq Ft","1160 Cobblefields Ct, Folsom, CA 95630","Hidden gem on a quiet court in the highly sought-after Parkway neighborhood of Folsom. This beautifully maintained single-story home offers 3 bedrooms, 2 bathrooms, and 1,506 square feet of functional living space on a 4,617-square-foot lot. The open floor plan features a spacious living and dining area, a gas fireplace, and abundant natural light throughout. The kitchen includes granite","Kenneth Jamaca","J Castle Group","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/1160-cobblefields-ct-folsom-ca/zdh8lgf7ltqen/","1160 Cobblefields Ct, Folsom, CA 95630","","","",""
"https://www.homes.com/property/306-dean-way-folsom-ca/t48bkmkjz4qn5/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/5818522974-161344612/306-dean-way-folsom-ca-primaryphoto.jpg","https://www.homes.com/property/306-dean-way-folsom-ca/t48bkmkjz4qn5/","https://images.homes.com/listings/117/9818522974-161344612/306-dean-way-folsom-ca-buildingphoto-2.jpg","https://www.homes.com/property/306-dean-way-folsom-ca/t48bkmkjz4qn5/","https://images.homes.com/listings/117/5918522974-161344612/306-dean-way-folsom-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/306-dean-way-folsom-ca/t48bkmkjz4qn5/"" role=""link"" aria-label=""306 Dean Way, Folsom, CA 95630"" title=""306 Dean Way, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""306 Dean Way, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","47","$674,900","3 Beds","2 Baths","1,448 Sq Ft","306 Dean Way, Folsom, CA 95630","Classic 1950's Folsom Ranch with Modern Updates & Walkable Location Welcome to 306 Dean Way a charming and mostly updated 3-bedroom, 2-bath ranch-style home situated on a spacious 7,000 sq ft corner lot in one of Folsom's most desirable and walkable neighborhoods. Offering 1,448 sq ft of comfortable living space, this home blends classic character with important modern upgrades. The updated","Kat Spears","eXp Realty of Northern CA","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/306-dean-way-folsom-ca/t48bkmkjz4qn5/","306 Dean Way, Folsom, CA 95630","","","",""
"https://www.homes.com/property/1600-manasco-cir-folsom-ca/174wks90c5j2k/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/1600-manasco-cir-folsom-ca/174wks90c5j2k/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/1600-manasco-cir-folsom-ca/174wks90c5j2k/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1600-manasco-cir-folsom-ca/174wks90c5j2k/"" role=""link"" aria-label=""1600 Manasco Cir, Folsom, CA 95630"" title=""1600 Manasco Cir, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""1600 Manasco Cir, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","41","$995,000","4 Beds","3 Baths","2,825 Sq Ft","1600 Manasco Cir, Folsom, CA 95630","Welcome to this beautiful Parkway home in Folsom which backs up to Willow creek trail and the wetlands! Impeccably maintained and updated this home with soaring ceilings and natural light offers a blend of comfort and elegance throughout. The gourmet kitchen has a gas range, built in oven microwave combo, two dishwashers, granite countertops, and a spacious center island. The downstairs bedroom","Marin Whitaker","Real Estate Solutions","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/1600-manasco-cir-folsom-ca/174wks90c5j2k/","1600 Manasco Cir, Folsom, CA 95630","","","",""
"https://www.homes.com/property/5876-granite-hills-dr-s-granite-bay-ca/gm3ejpwzemr2m/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/5876-granite-hills-dr-s-granite-bay-ca/gm3ejpwzemr2m/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/5876-granite-hills-dr-s-granite-bay-ca/gm3ejpwzemr2m/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/5876-granite-hills-dr-s-granite-bay-ca/gm3ejpwzemr2m/"" role=""link"" aria-label=""5876 Granite Hills Dr S, Granite Bay, CA 95746"" title=""5876 Granite Hills Dr S, Granite Bay, CA 95746"">
                                    <img class=""embla__slide__img image-container"" alt=""5876 Granite Hills Dr S, Granite Bay, CA 95746"" />
                                </a>
                            </div>
                        </div>","/","1","52","$1,950,000","4 Beds","3.5 Baths","4,239 Sq Ft","5876 Granite Hills Dr S, Granite Bay, CA 95746","Located within the peaceful, gated Granite Bay Hills community known for its privacy and strong sense of community, this exceptional custom home built by RBJ Custom Homes offers an ideal floorplan that lives like a single story. The main level features 3 spacious bedrooms and a private office, while upstairs includes an additional family room, bedroom, and full en-suite bath - ideal for guests or","Justin Arnest","Realty ONE Group Complete","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/5876-granite-hills-dr-s-granite-bay-ca/gm3ejpwzemr2m/","5876 Granite Hills Dr S, Granite Bay, CA 95746","","","",""
"https://www.homes.com/property/4773-iron-bird-dr-folsom-ca/v3b84blj19dqv/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/4773-iron-bird-dr-folsom-ca/v3b84blj19dqv/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/4773-iron-bird-dr-folsom-ca/v3b84blj19dqv/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/4773-iron-bird-dr-folsom-ca/v3b84blj19dqv/"" role=""link"" aria-label=""4773 Iron Bird Dr, Folsom, CA 95630"" title=""4773 Iron Bird Dr, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""4773 Iron Bird Dr, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","55","$1,899,000","6 Beds","5.5 Baths","4,242 Sq Ft","4773 Iron Bird Dr, Folsom, CA 95630","Former Platinum Peak model home on a premium view lot in Folsom Ranch. This stunning residence offers approx. 4,242 sq ft with 6 bedrooms and 5.5 baths, including a next-gen suite with separate entry. Designer upgrades throughout, open-concept living, gourmet kitchen, and seamless indoor-outdoor flow. Panoramic hillside views, energy-efficient features, and exceptional curb appeal. A rare","Bhajarang Katragadda","Keller Williams Realty","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/4773-iron-bird-dr-folsom-ca/v3b84blj19dqv/","4773 Iron Bird Dr, Folsom, CA 95630","New Construction","","",""
"https://www.homes.com/property/cresthaven-plan-regency-at-folsom-ranch-redwood-collection/etbd9x5810dnn/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/cresthaven-plan-regency-at-folsom-ranch-redwood-collection/etbd9x5810dnn/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/cresthaven-plan-regency-at-folsom-ranch-redwood-collection/etbd9x5810dnn/","","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/cresthaven-plan-regency-at-folsom-ranch-redwood-collection/etbd9x5810dnn/"" role=""link"" aria-label=""3561 Olive Orchard Dr Unit 36358677, Folsom, CA 95630"" title=""3561 Olive Orchard Dr Unit 36358677, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""3561 Olive Orchard Dr Unit 36358677, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","8","","2 Beds","2 Baths","1,542 Sq Ft","Cresthaven Plan at Regency at Folsom Ranch - Redwood Collection, Folsom, CA 95630","The Cresthaven's inviting covered porch and welcoming foyer reveal the spacious great room and views to the desirable luxury outdoor living space beyond. The well-appointed kitchen overlooks a bright casual dining area, and is enhanced by a large center island with breakfast bar, plenty of counter and cabinet space, and roomy pantry. The charming primary bedroom suite is highlighted by a generous","","","","","","New Construction","$664,995","Toll Brothers, Inc.","Builder"
"https://www.homes.com/property/residence-1821-plan-rockcress-ii-at-folsom-ranch/8mjdetldw4gy2/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/residence-1821-plan-rockcress-ii-at-folsom-ranch/8mjdetldw4gy2/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/residence-1821-plan-rockcress-ii-at-folsom-ranch/8mjdetldw4gy2/","","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/residence-1821-plan-rockcress-ii-at-folsom-ranch/8mjdetldw4gy2/"" role=""link"" aria-label=""3452 Caraway Ct Unit 36036426, Folsom, CA 95630"" title=""3452 Caraway Ct Unit 36036426, Folsom, CA 95630"">
                                    <img class=""embla__slide__img image-container"" alt=""3452 Caraway Ct Unit 36036426, Folsom, CA 95630"" />
                                </a>
                            </div>
                        </div>","/","1","16","","3 Beds","2.5 Baths","1,821 Sq Ft","Residence 1821 Plan at Rockcress II at Folsom Ranch, Folsom, CA 95630","This new two-story home is perfect for a growing family. The first floor features an open-concept layout among the Great Room, dining and kitchen, which offers direct access to the backyard for indoor-outdoor living. All three bedrooms are located upstairs, including the generously sized owner’s suite, which features a luxe bathroom and two walk-in closets.","","","","","","New Construction","$774,140","Lennar","Builder"
