"embla__slide__inner href","embla__slide__img src","embla__slide__img src 2","embla__slide__inner href 3","embla__slide__img src 3","embla__slide__inner href 4","embla__slide__img src 4","embla","embla__slide__number","image-counter","embla__slide__number 2","price-content","detailed-info-container","detailed-info-container 2","detailed-info-container 3","property-name","property-description","agent-name","agency-name","for-sale-content-container href","for-sale-content-container"
"https://www.homes.com/property/61-pali-way-pittsburg-ca/pclgcfrlpqyte/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/0126985464-614808212/61-pali-way-pittsburg-ca-primaryphoto.jpg","https://www.homes.com/property/61-pali-way-pittsburg-ca/pclgcfrlpqyte/","https://images.homes.com/listings/117/3426985464-614808212/61-pali-way-pittsburg-ca-buildingphoto-2.jpg","https://www.homes.com/property/61-pali-way-pittsburg-ca/pclgcfrlpqyte/","https://images.homes.com/listings/117/9626985464-614808212/61-pali-way-pittsburg-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/61-pali-way-pittsburg-ca/pclgcfrlpqyte/"" role=""link"" aria-label=""61 Pali Way, Pittsburg, CA 94565"" title=""61 Pali Way, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""61 Pali Way, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","44","$50,000","2 Beds","2 Baths","1,400 Sq Ft","61 Pali Way, Pittsburg, CA 94565","Discover comfort and convenience in this 55+ community featuring a spacious 2-bedroom, 2-bath triple-wide home with 1,400 sq. ft. of living space. This affordable property provides plenty of room to live comfortably while updating the finishes to match your personal style. Enjoy an orange tree on the lot and a community filled with amenities, including a rec room, pool, hot tub, gym, and sauna.","Marquita Jeffress","Bay East Bay Realty","https://www.homes.com/property/61-pali-way-pittsburg-ca/pclgcfrlpqyte/","61 Pali Way, Pittsburg, CA 94565"
"https://www.homes.com/property/2203-glenmount-dr-pittsburg-ca/gvbbpnc0njzqw/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/4601534184-981890712/2203-glenmount-dr-pittsburg-ca-primaryphoto.jpg","https://www.homes.com/property/2203-glenmount-dr-pittsburg-ca/gvbbpnc0njzqw/","https://images.homes.com/listings/117/7032313184-981890712/2203-glenmount-dr-pittsburg-ca-buildingphoto-2.jpg","https://www.homes.com/property/2203-glenmount-dr-pittsburg-ca/gvbbpnc0njzqw/","https://images.homes.com/listings/117/7601534184-981890712/2203-glenmount-dr-pittsburg-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/2203-glenmount-dr-pittsburg-ca/gvbbpnc0njzqw/"" role=""link"" aria-label=""2203 Glenmount Dr, Pittsburg, CA 94565"" title=""2203 Glenmount Dr, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""2203 Glenmount Dr, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","14","$549,000","5 Beds","2.5 Baths","2,128 Sq Ft","2203 Glenmount Dr, Pittsburg, CA 94565","Handyman special located in the Westgate Park community of Pittsburg. This property offers a strong opportunity for investors, contractors, or buyers looking to add value through renovations. Functional floor plan with good natural light and room for improvement throughout. Ideal for cosmetic updates and repairs to bring the home to its full potential. Private yard space provides additional","Ray J. Marquez","Exp Realty Of California, Inc","https://www.homes.com/property/2203-glenmount-dr-pittsburg-ca/gvbbpnc0njzqw/","2203 Glenmount Dr, Pittsburg, CA 94565"
"https://www.homes.com/property/95-w-leland-rd-pittsburg-ca/xwx4nzwx8647l/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/8872480184-500650712/95-w-leland-rd-pittsburg-ca-primaryphoto.jpg","https://www.homes.com/property/95-w-leland-rd-pittsburg-ca/xwx4nzwx8647l/","https://images.homes.com/listings/117/0972480184-500650712/95-w-leland-rd-pittsburg-ca-buildingphoto-2.jpg","https://www.homes.com/property/95-w-leland-rd-pittsburg-ca/xwx4nzwx8647l/","https://images.homes.com/listings/117/2972480184-500650712/95-w-leland-rd-pittsburg-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/95-w-leland-rd-pittsburg-ca/xwx4nzwx8647l/"" role=""link"" aria-label=""95 W Leland Rd, Pittsburg, CA 94565"" title=""95 W Leland Rd, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""95 W Leland Rd, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","25","$539,000","3 Beds","2 Baths","1,126 Sq Ft","95 W Leland Rd, Pittsburg, CA 94565","Newly renovated and equipped with solar, come see this single-story ranch home full of upgrades! The brand new kitchen features sleek quartz countertops & new appliances, accompanied by updated bathrooms, modern light fixtures and waterproof LVP flooring. With a partial finish garage and fresh paint inside and out, this property comes with a brand-new water heater, new garage door and a classic","Lawton Young","F A S Realty Inc.","https://www.homes.com/property/95-w-leland-rd-pittsburg-ca/xwx4nzwx8647l/","95 W Leland Rd, Pittsburg, CA 94565"
"https://www.homes.com/property/310-central-ave-pittsburg-ca/dw2e2evvlkzwc/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/1197229283-968361671/310-central-ave-pittsburg-ca-primaryphoto.jpg","https://www.homes.com/property/310-central-ave-pittsburg-ca/dw2e2evvlkzwc/","https://images.homes.com/listings/117/6297229283-968361671/310-central-ave-pittsburg-ca-buildingphoto-2.jpg","https://www.homes.com/property/310-central-ave-pittsburg-ca/dw2e2evvlkzwc/","https://images.homes.com/listings/117/5397229283-968361671/310-central-ave-pittsburg-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/310-central-ave-pittsburg-ca/dw2e2evvlkzwc/"" role=""link"" aria-label=""310 Central Ave, Pittsburg, CA 94565"" title=""310 Central Ave, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""310 Central Ave, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","11","$1,650,000","Land","1.47 Acres","$1,123,734 per Acre","310 Central Ave, Pittsburg, CA 94565","Great corner lot zoned Service Commercial, check with city regard zoning and building requirements. Residential uses may be permitted above ground floor commercial uses (such as office and retail). Close to downtown and E Bart Station, within walking distance. High traffic count area and visibility from Railroad and Central. Within City of Pittsburg redevelopment area. Property across the street","Ben Stocking","Stocking Realty","https://www.homes.com/property/310-central-ave-pittsburg-ca/dw2e2evvlkzwc/","310 Central Ave, Pittsburg, CA 94565"
"https://www.homes.com/property/311-shoreline-dr-pittsburg-ca/56pp1lhxkwq8z/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/5029253674-228932512/311-shoreline-dr-pittsburg-ca-primaryphoto.jpg","https://www.homes.com/property/311-shoreline-dr-pittsburg-ca/56pp1lhxkwq8z/","https://images.homes.com/listings/117/3129253674-228932512/311-shoreline-dr-pittsburg-ca-buildingphoto-2.jpg","https://www.homes.com/property/311-shoreline-dr-pittsburg-ca/56pp1lhxkwq8z/","https://images.homes.com/listings/117/0229253674-228932512/311-shoreline-dr-pittsburg-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/311-shoreline-dr-pittsburg-ca/56pp1lhxkwq8z/"" role=""link"" aria-label=""311 Shoreline Dr, Pittsburg, CA 94565"" title=""311 Shoreline Dr, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""311 Shoreline Dr, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","41","$529,000","3 Beds","2.5 Baths","1,825 Sq Ft","311 Shoreline Dr, Pittsburg, CA 94565","Welcome to this charming 3-bedroom, 2-bathroom home located in the vibrant city of Pittsburg. Spanning 1,825 sq ft, this residence offers a thoughtfully designed layout perfect for comfortable living. The well-appointed kitchen features a range of modern appliances, including an electric cooktop, self-cleaning oven, dishwasher, and new refrigerator, all complemented by sleek stone countertops and","Shaolan Zhao","Alliance Bay Realty","https://www.homes.com/property/311-shoreline-dr-pittsburg-ca/56pp1lhxkwq8z/","311 Shoreline Dr, Pittsburg, CA 94565"
"https://www.homes.com/property/231-w-9th-st-pittsburg-ca/cfmg7x165r50p/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/231-w-9th-st-pittsburg-ca/cfmg7x165r50p/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/231-w-9th-st-pittsburg-ca/cfmg7x165r50p/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/231-w-9th-st-pittsburg-ca/cfmg7x165r50p/"" role=""link"" aria-label=""231 W 9th St, Pittsburg, CA 94565"" title=""231 W 9th St, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""231 W 9th St, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","54","$489,000","4 Beds","2 Baths","1,786 Sq Ft","231 W 9th St, Pittsburg, CA 94565","INVESTORS OPPORTUNITY! VACANT DUPLEX . This property offers strong potential investors looking to add value and generate income. The Duplex features two units: First floor unit: 2 Bedrooms, 1 Bathroom, and an open-concept layout combining the family room and kitchen, plus a separate laundry room. Second Unit (upper level) 3 bedrooms, 1 bathroom, family room and living room. The lot size Sq.Ft.","Dora C. Eckenfelder","","https://www.homes.com/property/231-w-9th-st-pittsburg-ca/cfmg7x165r50p/","231 W 9th St, Pittsburg, CA 94565"
"https://www.homes.com/property/unlisted-address/31l4tv7g9h6jq/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/unlisted-address/31l4tv7g9h6jq/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/unlisted-address/31l4tv7g9h6jq/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/unlisted-address/31l4tv7g9h6jq/"" role=""link"" aria-label=""Unlisted Address"" title=""Unlisted Address"">
                                    <img class=""embla__slide__img image-container"" alt=""Unlisted Address"" />
                                </a>
                            </div>
                        </div>","/","1","9","$499,000","3 Beds","1 Bath","1,033 Sq Ft","Unlisted Address","Nice home in mature neighborhood. Rare unit with Central AC and Heat. Newly painted, new kitchen and bathroom cabinets, Refrigerator can be included. Nice size back yard. Won't last long.","Ernest Nichols","Ernest Nichols III","https://www.homes.com/property/unlisted-address/31l4tv7g9h6jq/","Unlisted Address"
"https://www.homes.com/property/202-queens-way-pittsburg-ca/wb6fk1m2qepl9/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/202-queens-way-pittsburg-ca/wb6fk1m2qepl9/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/202-queens-way-pittsburg-ca/wb6fk1m2qepl9/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/202-queens-way-pittsburg-ca/wb6fk1m2qepl9/"" role=""link"" aria-label=""202 Queens Way, Pittsburg, CA 94565"" title=""202 Queens Way, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""202 Queens Way, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","29","$115,000","2 Beds","2 Baths","1,248 Sq Ft","202 Queens Way, Pittsburg, CA 94565","This home is filled with charm! Set gracefully on a corner lot in a 55+ community, it feels almost like a cozy little palace. Inside, you’ll find 2 bedrooms, 2 bathrooms, and both a separate living room and family room for added flexibility. The kitchen highlights the seller’s artistic touch, featuring hand-painted details throughout. It comes equipped with a refrigerator, built-in oven, gas","Stephanie Wagner","Bhg Royal & Associates","https://www.homes.com/property/202-queens-way-pittsburg-ca/wb6fk1m2qepl9/","202 Queens Way, Pittsburg, CA 94565"
"https://www.homes.com/property/61-meadowbrook-cir-pittsburg-ca/e39kbyft0br8m/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/61-meadowbrook-cir-pittsburg-ca/e39kbyft0br8m/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/61-meadowbrook-cir-pittsburg-ca/e39kbyft0br8m/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/61-meadowbrook-cir-pittsburg-ca/e39kbyft0br8m/"" role=""link"" aria-label=""61 Meadowbrook Cir, Pittsburg, CA 94565"" title=""61 Meadowbrook Cir, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""61 Meadowbrook Cir, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","24","$378,000","2 Beds","1.5 Baths","1,122 Sq Ft","61 Meadowbrook Cir, Pittsburg, CA 94565","Welcome to this spacious 2-story townhome in the Meadowbrook HOA community of Pittsburg. Featuring 2 bedrooms and 1.5 bathrooms, this home offers a functional and comfortable layout with the living room, dining area, kitchen, and half bath on the main level, and two bedrooms with a full bathroom upstairs. The kitchen includes granite countertops, cabinetry, refrigerator, dishwasher and a","Gabriele Orbell","Keller Williams Realty","https://www.homes.com/property/61-meadowbrook-cir-pittsburg-ca/e39kbyft0br8m/","61 Meadowbrook Cir, Pittsburg, CA 94565"
"https://www.homes.com/property/614-chester-dr-pittsburg-ca/8gwgysvpv9de8/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/property/614-chester-dr-pittsburg-ca/8gwgysvpv9de8/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/614-chester-dr-pittsburg-ca/8gwgysvpv9de8/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/614-chester-dr-pittsburg-ca/8gwgysvpv9de8/"" role=""link"" aria-label=""614 Chester Dr, Pittsburg, CA 94565"" title=""614 Chester Dr, Pittsburg, CA 94565"">
                                    <img class=""embla__slide__img image-container"" alt=""614 Chester Dr, Pittsburg, CA 94565"" />
                                </a>
                            </div>
                        </div>","/","1","6","$540,000","4 Beds","2 Baths","1,213 Sq Ft","614 Chester Dr, Pittsburg, CA 94565","Welcome to 614 Chester Dr. in Pittsburgh CA a beautifully refreshed home that's move-in ready!! This charming 4 bedroom ,2 bath residence feature fresh interior paint and brand new laminated floors throughout creating a clean and modern feel from the moment you step inside. with well-proportioned bedrooms and inviting living room, this home is pest for first time buyers. OPEN HOUSE, Saturday","EDUARDO MENENDEZ","","https://www.homes.com/property/614-chester-dr-pittsburg-ca/8gwgysvpv9de8/","614 Chester Dr, Pittsburg, CA 94565"
