"embla__slide__inner href","embla__slide__img src","embla__slide__img src 2","embla__slide__img src 3","embla__slide__inner href 4","embla__slide__img src 4","embla","embla__slide__number","image-counter","embla__slide__number 2","price-content","detailed-info-container","detailed-info-container 2","detailed-info-container 3","property-name","property-description","agent-name","agency-name","for-sale-content-container href","for-sale-content-container","status-pill"
"https://www.homes.com/property/9466-davenport-cir-discovery-bay-ca/5x3891k1vfbbt/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/6706553084-849208612/9466-davenport-cir-discovery-bay-ca-primaryphoto.jpg","https://images.homes.com/listings/117/7806553084-849208612/9466-davenport-cir-discovery-bay-ca-buildingphoto-2.jpg","https://www.homes.com/property/9466-davenport-cir-discovery-bay-ca/5x3891k1vfbbt/","https://images.homes.com/listings/117/4906553084-849208612/9466-davenport-cir-discovery-bay-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/9466-davenport-cir-discovery-bay-ca/5x3891k1vfbbt/"" role=""link"" aria-label=""9466 Davenport Cir, Discovery Bay, CA 94505"" title=""9466 Davenport Cir, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""9466 Davenport Cir, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","60","$850,000","3 Beds","2.5 Baths","2,296 Sq Ft","9466 Davenport Cir, Discovery Bay, CA 94505","Welcome to 9466 Davenport Circle in Discovery Bay, a stunning 3-bed, 2.5-bath home offering 2,296 sq ft of modern living, built in 2017. Enjoy the expansive great room which connects the living and dining areas to a spacious open kitchen featuring an oversized island, quartz countertops, modern appliances, and a walk-in pantry. Sliding glass doors create a seamless indoor-outdoor flow to the","Wendy Moore","Christie's Intl Re Sereno","https://www.homes.com/property/9466-davenport-cir-discovery-bay-ca/5x3891k1vfbbt/","9466 Davenport Cir, Discovery Bay, CA 94505",""
"https://www.homes.com/property/5570-marlin-dr-discovery-bay-ca/tg0xxjr4qh827/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/0960857274-630816312/5570-marlin-dr-discovery-bay-ca-primaryphoto.jpg","https://images.homes.com/listings/117/2960857274-630816312/5570-marlin-dr-discovery-bay-ca-buildingphoto-2.jpg","https://www.homes.com/property/5570-marlin-dr-discovery-bay-ca/tg0xxjr4qh827/","https://images.homes.com/listings/117/5960857274-630816312/5570-marlin-dr-discovery-bay-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/5570-marlin-dr-discovery-bay-ca/tg0xxjr4qh827/"" role=""link"" aria-label=""5570 Marlin Dr, Discovery Bay, CA 94505"" title=""5570 Marlin Dr, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""5570 Marlin Dr, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","39","$799,000","2 Beds","2.5 Baths","1,524 Sq Ft","5570 Marlin Dr, Discovery Bay, CA 94505","Welcome to 5570 Marlin Dr in Discovery Bay, a waterfront 2 bedroom, 2.5 bathroom home built for the Delta lifestyle. Set on deep water with your own private U dock, you're just minutes to fast water for boating, paddleboarding, and day trips on the Delta. A giant wood deck beautifully complements the home, creating the perfect space for sunset lounging, weekend BBQs, and hosting friends while you","Kenneth Jamaca","J Castle Group","https://www.homes.com/property/5570-marlin-dr-discovery-bay-ca/tg0xxjr4qh827/","5570 Marlin Dr, Discovery Bay, CA 94505",""
"https://www.homes.com/property/1989-newport-dr-discovery-bay-ca/fm13ydc59hzc4/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/8171451464-724687212/1989-newport-dr-discovery-bay-ca-buildingphoto-2.jpg","https://www.homes.com/property/1989-newport-dr-discovery-bay-ca/fm13ydc59hzc4/","https://images.homes.com/listings/117/5371451464-724687212/1989-newport-dr-discovery-bay-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1989-newport-dr-discovery-bay-ca/fm13ydc59hzc4/"" role=""link"" aria-label=""1989 Newport Dr, Discovery Bay, CA 94505"" title=""1989 Newport Dr, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""1989 Newport Dr, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","42","$975,500","3 Beds","2 Baths","2,099 Sq Ft","1989 Newport Dr, Discovery Bay, CA 94505","DISOCOVERY BAY LIVE WHERE YOU PLAY - DESIRABLE MIRA MAR FLOOR PLAN WATERFRONT SINGLE STORY WITH FABULOUS WATER VIEWS! DESIRABLE FLOOR PLAN - 2099 SQ FT W/3 BEDROOMS & 2 FULL BATHS -3 CAR GARAGE - ENTERTAINER'S BACK DECK W/LARGE BOAT SLIP - Open floor plan w/high ceilings - Formal Living & Dining area - Spacious family room w/fireplace opens to kitchen - Chef's kitchen offers granite counters,","Maureen Prince","Flat Rate Realty","https://www.homes.com/property/1989-newport-dr-discovery-bay-ca/fm13ydc59hzc4/","1989 Newport Dr, Discovery Bay, CA 94505",""
"https://www.homes.com/property/5761-salmon-ct-discovery-bay-ca/x8hv6lmq5t79h/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/9942435974-771465612/5761-salmon-ct-discovery-bay-ca-buildingphoto-2.jpg","https://www.homes.com/property/5761-salmon-ct-discovery-bay-ca/x8hv6lmq5t79h/","https://images.homes.com/listings/117/5052435974-771465612/5761-salmon-ct-discovery-bay-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/5761-salmon-ct-discovery-bay-ca/x8hv6lmq5t79h/"" role=""link"" aria-label=""5761 Salmon Ct, Discovery Bay, CA 94505"" title=""5761 Salmon Ct, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""5761 Salmon Ct, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","57","$1,750,000","4 Beds","2.5 Baths","2,711 Sq Ft","5761 Salmon Ct, Discovery Bay, CA 94505","Experience the ultimate waterfront lifestyle. Exceptional bay-front retreat, ideally situated just minutes from fast water. Peacefully tucked away in a quiet, deep-water bay near Marina. Designed for boating enthusiasts & entertainers. Oversized, expanded and painted dock accommodates 6+ boats & equipped with 2 boat lifts, two ski ports, covered slips with roll-up side panels. Abundant space for","Naomi Longoria","Delta Ranches & Homes","https://www.homes.com/property/5761-salmon-ct-discovery-bay-ca/x8hv6lmq5t79h/","5761 Salmon Ct, Discovery Bay, CA 94505",""
"https://www.homes.com/property/2110-largo-ct-discovery-bay-ca/1bsf87srg5brv/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/3388768084-578399612/2110-largo-ct-discovery-bay-ca-buildingphoto-2.jpg","https://www.homes.com/property/2110-largo-ct-discovery-bay-ca/1bsf87srg5brv/","https://images.homes.com/listings/117/3488768084-578399612/2110-largo-ct-discovery-bay-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/2110-largo-ct-discovery-bay-ca/1bsf87srg5brv/"" role=""link"" aria-label=""2110 Largo Ct, Discovery Bay, CA 94505"" title=""2110 Largo Ct, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""2110 Largo Ct, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","52","$799,000","3 Beds","2.5 Baths","1,668 Sq Ft","2110 Largo Ct, Discovery Bay, CA 94505","Located in the desirable Cypress Landing community with deepwater Delta access just across the street, this beautifully updated 3BD/2.5BA home includes its own dedicated boat dock slip—perfect for enjoying fishing, boating, water sports, and the natural beauty and wildlife of the Delta. The backyard is ideal for entertaining with a sparkling in-ground pool, above-ground spa, tropical-style","Christi Durflinger","NextHome Mount Diablo Estates","https://www.homes.com/property/2110-largo-ct-discovery-bay-ca/1bsf87srg5brv/","2110 Largo Ct, Discovery Bay, CA 94505",""
"https://www.homes.com/property/1963-windward-point-discovery-bay-ca/c4d57zb5t7sfw/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/1963-windward-point-discovery-bay-ca/c4d57zb5t7sfw/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1963-windward-point-discovery-bay-ca/c4d57zb5t7sfw/"" role=""link"" aria-label=""1963 Windward Point, Discovery Bay, CA 94505"" title=""1963 Windward Point, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""1963 Windward Point, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","47","$1,350,000","3 Beds","2 Baths","2,304 Sq Ft","1963 Windward Point, Discovery Bay, CA 94505","Beautifully remodeled single story waterfront home with stunning water views, sought after eastern exposure, a 3 car garage and side yard access. Spacious open floor plan features massive great room with vaulted ceilings. Remodeled chef’s kitchen features stone counters, high end appliances, and a large island with bar seating. Spacious primary suite features vaulted ceilings, gorgeous water","Kelly Wall","Realty Investment Solutions","https://www.homes.com/property/1963-windward-point-discovery-bay-ca/c4d57zb5t7sfw/","1963 Windward Point, Discovery Bay, CA 94505",""
"https://www.homes.com/property/4105-windward-ct-discovery-bay-ca/0lh8kgtrbpgk6/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/4105-windward-ct-discovery-bay-ca/0lh8kgtrbpgk6/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/4105-windward-ct-discovery-bay-ca/0lh8kgtrbpgk6/"" role=""link"" aria-label=""4105 Windward Ct, Discovery Bay, CA 94505"" title=""4105 Windward Ct, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""4105 Windward Ct, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","56","$1,450,000","3 Beds","2 Baths","2,615 Sq Ft","4105 Windward Ct, Discovery Bay, CA 94505","Truly spectacular unique waterfront home with breathtaking panoramic views on a point lot with approx. 116 feet of water frontage. Amazing court location with sought after southern exposure. Oversized U-shaped dock with room for multiple boats, possibly a pool, or whatever your heart desires. Waterfront luxury at its finest. Spacious open floor plan with soaring ceilings and lots of natural","Kelly Wall","Realty Investment Solutions","https://www.homes.com/property/4105-windward-ct-discovery-bay-ca/0lh8kgtrbpgk6/","4105 Windward Ct, Discovery Bay, CA 94505",""
"https://www.homes.com/property/51-discovery-bay-blvd-discovery-bay-ca/esyzmsz6c6xlz/","https://www.homes.com/assets/images/spacer.gif","","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/51-discovery-bay-blvd-discovery-bay-ca/esyzmsz6c6xlz/","https://www.homes.com/assets/images/spacer.gif","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/51-discovery-bay-blvd-discovery-bay-ca/esyzmsz6c6xlz/"" role=""link"" aria-label=""51 Discovery Bay Blvd, Discovery Bay, CA 94505"" title=""51 Discovery Bay Blvd, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""51 Discovery Bay Blvd, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","47","$1,275,000","4 Beds","2 Baths","1,778 Sq Ft","51 Discovery Bay Blvd, Discovery Bay, CA 94505","SECONDS to fast water! Truly unique remodeled single story waterfront home on a huge lot. Stunning water views with 102 feet of water frontage. Room to expand home and/or add an in-ground pool, as well as expand the dock. Sought after location. Spacious open floor plan with soaring ceilings and lots of natural light, features 4 bedrooms and 2 bathrooms. Remodeled chef's kitchen features granite","Kelly Wall","Realty Investment Solutions","https://www.homes.com/property/51-discovery-bay-blvd-discovery-bay-ca/esyzmsz6c6xlz/","51 Discovery Bay Blvd, Discovery Bay, CA 94505",""
"https://www.homes.com/property/1688-wilde-dr-discovery-bay-ca/zrjtfbr2c6q5y/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/1688-wilde-dr-discovery-bay-ca/zrjtfbr2c6q5y/","","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1688-wilde-dr-discovery-bay-ca/zrjtfbr2c6q5y/"" role=""link"" aria-label=""1688 Wilde Dr, Discovery Bay, CA 94505"" title=""1688 Wilde Dr, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""1688 Wilde Dr, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","36","$550,000","4 Beds","2.5 Baths","1,800 Sq Ft","1688 Wilde Dr, Discovery Bay, CA 94505","Located in a highly desirable neighborhood with no HOA, Owned Solar, and just a short walk to the neighborhood park and school, this charming home offers the perfect blend of comfort, style, and convenience. Recent upgrades include new interior paint, luxury vinyl plank flooring, a new water softener system, new thermally insulated blackout curtains in select bedrooms, a new epoxy garage floor, a","Amin Arikat","","https://www.homes.com/property/1688-wilde-dr-discovery-bay-ca/zrjtfbr2c6q5y/","1688 Wilde Dr, Discovery Bay, CA 94505",""
"https://www.homes.com/property/3432-keystone-loop-discovery-bay-ca/vmmls7jm4vmjy/","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/assets/images/spacer.gif","https://www.homes.com/property/3432-keystone-loop-discovery-bay-ca/vmmls7jm4vmjy/","","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/3432-keystone-loop-discovery-bay-ca/vmmls7jm4vmjy/"" role=""link"" aria-label=""3432 Keystone Loop, Discovery Bay, CA 94505"" title=""3432 Keystone Loop, Discovery Bay, CA 94505"">
                                    <img class=""embla__slide__img image-container"" alt=""3432 Keystone Loop, Discovery Bay, CA 94505"" />
                                </a>
                            </div>
                        </div>","/","1","55","$818,000","5 Beds","4 Baths","4,011 Sq Ft","3432 Keystone Loop, Discovery Bay, CA 94505","Welcome to a premier living experience at Keystone Loop! Nestled in the sought-after, gated Lakeshore community, this expansive 4,011-square-foot masterpiece features 5 bedrooms and 4 bathrooms. A standout feature is the highly desirable and ground floor bonus room with a private entrance, perfect for home office, multi gen living and large enough to convert into a casita. Inside, the expansive","Maria Toleran","Redfin","https://www.homes.com/property/3432-keystone-loop-discovery-bay-ca/vmmls7jm4vmjy/","3432 Keystone Loop, Discovery Bay, CA 94505","Open Sat 1PM - 4PM"
