"embla__slide__inner href","embla__slide__img src","embla__slide__img src 2","embla__slide__inner href 3","embla__slide__img src 3","embla__slide__inner href 4","embla__slide__img src 4","embla","embla__slide__number","image-counter","embla__slide__number 2","price-content","detailed-info-container","detailed-info-container 2","detailed-info-container 3","property-name","property-description","agent-name","agency-name","for-sale-content-container href","for-sale-content-container"
"https://www.homes.com/property/645-keith-ct-walnut-creek-ca/njrdq1l6q883j/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/6297524974-335625612/645-keith-ct-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/645-keith-ct-walnut-creek-ca/njrdq1l6q883j/","https://images.homes.com/listings/117/2397524974-335625612/645-keith-ct-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/645-keith-ct-walnut-creek-ca/njrdq1l6q883j/","https://images.homes.com/listings/117/5397524974-335625612/645-keith-ct-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/645-keith-ct-walnut-creek-ca/njrdq1l6q883j/"" role=""link"" aria-label=""645 Keith Ct, Walnut Creek, CA 94597"" title=""645 Keith Ct, Walnut Creek, CA 94597"">
                                    <img class=""embla__slide__img image-container"" alt=""645 Keith Ct, Walnut Creek, CA 94597"" />
                                </a>
                            </div>
                        </div>","/","1","60","$1,338,000","3 Beds","2 Baths","2,124 Sq Ft","645 Keith Ct, Walnut Creek, CA 94597","Beautifully updated home in one of Walnut Creek’s most desirable neighborhoods, just moments from Larkey Park and Lindsay Wildlife Experience. Well maintained by its second owner, this move-in ready residence showcases pride of ownership with a fully re-wired electrical system, smart home features, LED lighting, fresh paint, and modern flooring. The chef’s kitchen features premium stainless steel","Kat Knudsen","Rossmoor Realty / J.H. Russell","https://www.homes.com/property/645-keith-ct-walnut-creek-ca/njrdq1l6q883j/","645 Keith Ct, Walnut Creek, CA 94597"
"https://www.homes.com/property/1680-san-miguel-dr-walnut-creek-ca/bf1tw10em12y9/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/4925376774-949578512/1680-san-miguel-dr-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/1680-san-miguel-dr-walnut-creek-ca/bf1tw10em12y9/","https://images.homes.com/listings/117/1825376774-949578512/1680-san-miguel-dr-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/1680-san-miguel-dr-walnut-creek-ca/bf1tw10em12y9/","https://images.homes.com/listings/117/2725376774-949578512/1680-san-miguel-dr-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1680-san-miguel-dr-walnut-creek-ca/bf1tw10em12y9/"" role=""link"" aria-label=""1680 San Miguel Dr, Walnut Creek, CA 94596"" title=""1680 San Miguel Dr, Walnut Creek, CA 94596"">
                                    <img class=""embla__slide__img image-container"" alt=""1680 San Miguel Dr, Walnut Creek, CA 94596"" />
                                </a>
                            </div>
                        </div>","/","1","26","$550,000","1 Bed","1.5 Baths","1,031 Sq Ft","1680 San Miguel Dr, Walnut Creek, CA 94596","Enjoy Downtown Walnut Creek Living at its finest! The home you’ve been waiting for. This exceptional residence lives like a townhome and is perfectly situated in the heart of downtown Walnut Creek. Enjoy effortless walkability to Broadway Plaza, acclaimed restaurants, Whole Foods, bile trails, parks and everything downtown has to offer. Convenient access to Highways 24 & 680, BART, and the Iron","Laura Wucher","Christie's Intl Re Sereno","https://www.homes.com/property/1680-san-miguel-dr-walnut-creek-ca/bf1tw10em12y9/","1680 San Miguel Dr, Walnut Creek, CA 94596"
"https://www.homes.com/property/208-siskiyou-ct-walnut-creek-ca/9c3xf6hthxfhq/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/8160123184-284001712/208-siskiyou-ct-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/208-siskiyou-ct-walnut-creek-ca/9c3xf6hthxfhq/","https://images.homes.com/listings/117/3260123184-284001712/208-siskiyou-ct-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/208-siskiyou-ct-walnut-creek-ca/9c3xf6hthxfhq/","https://images.homes.com/listings/117/7260123184-284001712/208-siskiyou-ct-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/208-siskiyou-ct-walnut-creek-ca/9c3xf6hthxfhq/"" role=""link"" aria-label=""208 Siskiyou Ct, Walnut Creek, CA 94598"" title=""208 Siskiyou Ct, Walnut Creek, CA 94598"">
                                    <img class=""embla__slide__img image-container"" alt=""208 Siskiyou Ct, Walnut Creek, CA 94598"" />
                                </a>
                            </div>
                        </div>","/","1","54","$899,000","4 Beds","2.5 Baths","1,915 Sq Ft","208 Siskiyou Ct, Walnut Creek, CA 94598","Rare 4-bedroom townhome in the highly desirable Heather Farms community of Walnut Creek. This spacious townhome offers approximately 1,915 square feet of thoughtfully designed living space, enhanced by tasteful modern updates including fresh interior paint, new downstairs flooring, designer kitchen backsplash, and stylish lighting fixtures. A private front patio welcomes you into a bright and","Kat Sellis","Real Broker","https://www.homes.com/property/208-siskiyou-ct-walnut-creek-ca/9c3xf6hthxfhq/","208 Siskiyou Ct, Walnut Creek, CA 94598"
"https://www.homes.com/property/1310-walden-rd-walnut-creek-ca-unit-11/3zbvbnmf2hzqt/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/7896732954-984875802/1310-walden-rd-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/1310-walden-rd-walnut-creek-ca-unit-11/3zbvbnmf2hzqt/","https://images.homes.com/listings/117/4996732954-984875802/1310-walden-rd-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/1310-walden-rd-walnut-creek-ca-unit-11/3zbvbnmf2hzqt/","https://images.homes.com/listings/117/7996732954-984875802/1310-walden-rd-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1310-walden-rd-walnut-creek-ca-unit-11/3zbvbnmf2hzqt/"" role=""link"" aria-label=""1310 Walden Rd Unit 11, Walnut Creek, CA 94597"" title=""1310 Walden Rd Unit 11, Walnut Creek, CA 94597"">
                                    <img class=""embla__slide__img image-container"" alt=""1310 Walden Rd Unit 11, Walnut Creek, CA 94597"" />
                                </a>
                            </div>
                        </div>","/","1","29","$449,000","2 Beds","2 Baths","980 Sq Ft","1310 Walden Rd Unit 11, Walnut Creek, CA 94597","This is a deal—seller wants it sold! Special Financing Welcome to 1310 Walden Road #11, a charming 2-bedroom, 2-bathroom condo in an unbeatable Walnut Creek location. This light-filled home features an open 980 sq ft floor plan with a cozy wood-burning fireplace and a sunlit balcony—perfect for morning coffee or evening relaxation. The generously sized bedrooms provide a comfortable retreat, and","Michael Hyles","","https://www.homes.com/property/1310-walden-rd-walnut-creek-ca-unit-11/3zbvbnmf2hzqt/","1310 Walden Rd Unit 11, Walnut Creek, CA 94597"
"https://www.homes.com/property/2601-pine-knoll-dr-walnut-creek-ca-unit-8/3sbtwmwsnkpst/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/6248612084-891032512/2601-pine-knoll-dr-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/2601-pine-knoll-dr-walnut-creek-ca-unit-8/3sbtwmwsnkpst/","https://images.homes.com/listings/117/1348612084-891032512/2601-pine-knoll-dr-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/2601-pine-knoll-dr-walnut-creek-ca-unit-8/3sbtwmwsnkpst/","https://images.homes.com/listings/117/0602123674-891032512/2601-pine-knoll-dr-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/2601-pine-knoll-dr-walnut-creek-ca-unit-8/3sbtwmwsnkpst/"" role=""link"" aria-label=""2601 Pine Knoll Dr Unit 8, Walnut Creek, CA 94595"" title=""2601 Pine Knoll Dr Unit 8, Walnut Creek, CA 94595"">
                                    <img class=""embla__slide__img image-container"" alt=""2601 Pine Knoll Dr Unit 8, Walnut Creek, CA 94595"" />
                                </a>
                            </div>
                        </div>","/","1","51","$594,300","2 Beds","2 Baths","1,254 Sq Ft","2601 Pine Knoll Dr Unit 8, Walnut Creek, CA 94595","Where else can you find this level of design, space, and location for under $600,000? Move right into this , beautifully remodeled Sonoma Model with exceptional care and attention to detail. Classic charm meets modern comfort with elegant wainscoting, rich engineered hardwood floors, and sleek porcelain countertops anchoring the open-concept kitchen. Enjoy a dual-zone wine fridge and a Samsung","Kailani Kimoto","Rossmoor Realty / J.H. Russell","https://www.homes.com/property/2601-pine-knoll-dr-walnut-creek-ca-unit-8/3sbtwmwsnkpst/","2601 Pine Knoll Dr Unit 8, Walnut Creek, CA 94595"
"https://www.homes.com/property/3136-ptarmigan-dr-walnut-creek-ca-unit-5/9bj395qt0tstv/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/9168933184-135501712/3136-ptarmigan-dr-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/3136-ptarmigan-dr-walnut-creek-ca-unit-5/9bj395qt0tstv/","https://images.homes.com/listings/117/9268933184-135501712/3136-ptarmigan-dr-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/3136-ptarmigan-dr-walnut-creek-ca-unit-5/9bj395qt0tstv/","https://images.homes.com/listings/117/7368933184-135501712/3136-ptarmigan-dr-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/3136-ptarmigan-dr-walnut-creek-ca-unit-5/9bj395qt0tstv/"" role=""link"" aria-label=""3136 Ptarmigan Dr Unit 5, Walnut Creek, CA 94595"" title=""3136 Ptarmigan Dr Unit 5, Walnut Creek, CA 94595"">
                                    <img class=""embla__slide__img image-container"" alt=""3136 Ptarmigan Dr Unit 5, Walnut Creek, CA 94595"" />
                                </a>
                            </div>
                        </div>","/","1","17","$675,000","2 Beds","2 Baths","1,406 Sq Ft","3136 Ptarmigan Dr Unit 5, Walnut Creek, CA 94595","Enjoy one of Rossmoor’s most spectacular locations, set in a highly desirable entry that features its own private park—perfect for neighborhood socials and gatherings. Tucked at the end of a quiet court and bordering a peaceful canyon of trees, this special setting offers lovely landscaping and a true sense of retreat. The expansive enclosed deck captures sweeping views of rolling hills and","Julie Germain","Rossmoor Realty / J.H. Russell","https://www.homes.com/property/3136-ptarmigan-dr-walnut-creek-ca-unit-5/9bj395qt0tstv/","3136 Ptarmigan Dr Unit 5, Walnut Creek, CA 94595"
"https://www.homes.com/property/2640-jones-rd-walnut-creek-ca-unit-a/gxvft3389v07k/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/102/8333470074-479870312/2640-jones-rd-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/2640-jones-rd-walnut-creek-ca-unit-a/gxvft3389v07k/","https://images.homes.com/listings/117/9333470074-479870312/2640-jones-rd-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/2640-jones-rd-walnut-creek-ca-unit-a/gxvft3389v07k/","https://images.homes.com/listings/117/2433470074-479870312/2640-jones-rd-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/2640-jones-rd-walnut-creek-ca-unit-a/gxvft3389v07k/"" role=""link"" aria-label=""2640 Jones Rd Unit A, Walnut Creek, CA 94597"" title=""2640 Jones Rd Unit A, Walnut Creek, CA 94597"">
                                    <img class=""embla__slide__img image-container"" alt=""2640 Jones Rd Unit A, Walnut Creek, CA 94597"" />
                                </a>
                            </div>
                        </div>","/","1","43","$1,099,000","3 Beds","4 Baths","1,928 Sq Ft","2640 Jones Rd Unit A, Walnut Creek, CA 94597","Life at 2640 Jones Rd, Unit A has the perfect blend of comfort, function, and modern design. With only 6 units in the development, designed by Studio 81 International and custom built in 2021 by Mark Scott Construction, this end-unit townhome is filled with natural light, tall ceilings, and thoughtful upgrades. The entry level offers a welcoming front patio, foyer with split A/C, a convenient","Lauren Quach","COMPASS","https://www.homes.com/property/2640-jones-rd-walnut-creek-ca-unit-a/gxvft3389v07k/","2640 Jones Rd Unit A, Walnut Creek, CA 94597"
"https://www.homes.com/property/1411-creekside-dr-walnut-creek-ca-unit-2/q1rv2jyxsl4lk/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/9110552774-641487512/1411-creekside-dr-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/1411-creekside-dr-walnut-creek-ca-unit-2/q1rv2jyxsl4lk/","https://images.homes.com/listings/117/2210552774-641487512/1411-creekside-dr-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/1411-creekside-dr-walnut-creek-ca-unit-2/q1rv2jyxsl4lk/","https://images.homes.com/listings/117/5210552774-641487512/1411-creekside-dr-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/1411-creekside-dr-walnut-creek-ca-unit-2/q1rv2jyxsl4lk/"" role=""link"" aria-label=""1411 Creekside Dr Unit 2, Walnut Creek, CA 94596"" title=""1411 Creekside Dr Unit 2, Walnut Creek, CA 94596"">
                                    <img class=""embla__slide__img image-container"" alt=""1411 Creekside Dr Unit 2, Walnut Creek, CA 94596"" />
                                </a>
                            </div>
                        </div>","/","1","28","$419,999","2 Beds","1 Bath","958 Sq Ft","1411 Creekside Dr Unit 2, Walnut Creek, CA 94596","STUNNING, UPDATED townhouse-style condo in the highly desirable Pine Brook Village community of Walnut Creek. This light-filled home offers a fresh, modern feel with thoughtfully updated finishes throughout. The kitchen features stainless steel appliances, updated countertops, sink, and faucet ideal for both everyday living and entertaining. Additional improvements include an updated bathroom,","Anilkumar Kumar","Intero Real Estate Services","https://www.homes.com/property/1411-creekside-dr-walnut-creek-ca-unit-2/q1rv2jyxsl4lk/","1411 Creekside Dr Unit 2, Walnut Creek, CA 94596"
"https://www.homes.com/property/2216-blackwood-dr-walnut-creek-ca/690m2xt0tb31e/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/6270026474-196105412/2216-blackwood-dr-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/2216-blackwood-dr-walnut-creek-ca/690m2xt0tb31e/","https://images.homes.com/listings/117/0370026474-196105412/2216-blackwood-dr-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/2216-blackwood-dr-walnut-creek-ca/690m2xt0tb31e/","https://images.homes.com/listings/117/3370026474-196105412/2216-blackwood-dr-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/2216-blackwood-dr-walnut-creek-ca/690m2xt0tb31e/"" role=""link"" aria-label=""2216 Blackwood Dr, Walnut Creek, CA 94596"" title=""2216 Blackwood Dr, Walnut Creek, CA 94596"">
                                    <img class=""embla__slide__img image-container"" alt=""2216 Blackwood Dr, Walnut Creek, CA 94596"" />
                                </a>
                            </div>
                        </div>","/","1","60","$1,895,000","3 Beds","2.5 Baths","2,066 Sq Ft","2216 Blackwood Dr, Walnut Creek, CA 94596","Elevated Private Retreat. Centrally Located. Perched on a nearly flat half-acre lot with a private gated driveway, this stunning single story home in the highly desirable Walnut Knolls neighborhood offers space, privacy, and elevation just minutes from the heart of downtown Walnut Creek. The home was completely remodeled in 2022, with new plumbing, electrical, drywall, and roofing. The updated","Mona Rizzardi","Christie's Intl Re Sereno","https://www.homes.com/property/2216-blackwood-dr-walnut-creek-ca/690m2xt0tb31e/","2216 Blackwood Dr, Walnut Creek, CA 94596"
"https://www.homes.com/property/2933-ptarmigan-dr-walnut-creek-ca-unit-3/ddtdgkskmsjk8/","https://www.homes.com/assets/images/spacer.gif","https://images.homes.com/listings/117/6967226854-086274802/2933-ptarmigan-dr-walnut-creek-ca-primaryphoto.jpg","https://www.homes.com/property/2933-ptarmigan-dr-walnut-creek-ca-unit-3/ddtdgkskmsjk8/","https://images.homes.com/listings/117/1857226854-086274802/2933-ptarmigan-dr-walnut-creek-ca-buildingphoto-2.jpg","https://www.homes.com/property/2933-ptarmigan-dr-walnut-creek-ca-unit-3/ddtdgkskmsjk8/","https://images.homes.com/listings/117/8857226854-086274802/2933-ptarmigan-dr-walnut-creek-ca-buildingphoto-3.jpg","<div class=""embla__slide"">
                            <div class=""embla__slide__inner"">
                                <a href=""/property/2933-ptarmigan-dr-walnut-creek-ca-unit-3/ddtdgkskmsjk8/"" role=""link"" aria-label=""2933 Ptarmigan Dr Unit 3, Walnut Creek, CA 94595"" title=""2933 Ptarmigan Dr Unit 3, Walnut Creek, CA 94595"">
                                    <img class=""embla__slide__img image-container"" alt=""2933 Ptarmigan Dr Unit 3, Walnut Creek, CA 94595"" />
                                </a>
                            </div>
                        </div>","/","1","49","$599,000","2 Beds","2 Baths","842 Sq Ft","2933 Ptarmigan Dr Unit 3, Walnut Creek, CA 94595","An affordable opportunity to enjoy Rossmoor living in a newly remodeled, level-in two-bedroom, two-bath condominium. Thoughtfully redesigned for comfort and flexibility, this home is all on one level with no stairs and no neighbors above or below—ideal for downsizers, a single occupant, or part-time Bay Area living. The bright, open living space features wide-plank vinyl flooring, recessed","Linda Register","Re/max Accord","https://www.homes.com/property/2933-ptarmigan-dr-walnut-creek-ca-unit-3/ddtdgkskmsjk8/","2933 Ptarmigan Dr Unit 3, Walnut Creek, CA 94595"
