"tablescraper-selected-row src","tablescraper-selected-row src 2","tablescraper-selected-row src 3","tablescraper-selected-row src 4","tablescraper-selected-row src 5","tablescraper-selected-row src 6","spark-body-larger","datum-icon","tablescraper-selected-row","tablescraper-selected-row href","spark-body","tablescraper-selected-row 2","spark-body-small","datum-icon 2","datum-icon 3","datum-icon 4","tablescraper-selected-row 4"
"https://platform.cstatic-images.com/large/in/v2/766fe52c-7b8b-5f9b-af1a-56a773f561ad/bb7c709b-6c02-4aa2-9b07-70ae13c068b9/3C-NWFjFW79j2rwi_NFRyU-13EM.jpg","https://platform.cstatic-images.com/large/in/v2/766fe52c-7b8b-5f9b-af1a-56a773f561ad/bb7c709b-6c02-4aa2-9b07-70ae13c068b9/NT6sqpYwX_ybWqcDAZy2p-ujE0E.jpg","https://platform.cstatic-images.com/large/in/v2/766fe52c-7b8b-5f9b-af1a-56a773f561ad/bb7c709b-6c02-4aa2-9b07-70ae13c068b9/8WlYFb_6Fe_kfLCiAMKSEC-18hA.jpg","https://platform.cstatic-images.com/large/in/v2/766fe52c-7b8b-5f9b-af1a-56a773f561ad/bb7c709b-6c02-4aa2-9b07-70ae13c068b9/l2kGy_dYbGMDTuKYOVbWnqJjgiE.jpg","https://platform.cstatic-images.com/large/in/v2/766fe52c-7b8b-5f9b-af1a-56a773f561ad/bb7c709b-6c02-4aa2-9b07-70ae13c068b9/VzI-xXhOhsNlBLfTcwszkYquDWk.jpg","https://platform.cstatic-images.com/large/in/v2/766fe52c-7b8b-5f9b-af1a-56a773f561ad/bb7c709b-6c02-4aa2-9b07-70ae13c068b9/zs23hKoEB4VjuU3hXIiSJzDrfoA.jpg","$24,960","77,998 mi.","Est. $459/mo","https://www.cars.com/vehicledetail/6c0329c7-8592-4ed7-8098-193443e372a7/?attribution_type=isa","Used 2016 Lexus RX 350 Base","Fair Deal","Lexus of Tulsa","4.8","Tulsa, OK (1,401 mi)","",""
"https://platform.cstatic-images.com/large/in/v2/9369969c-a9f1-530d-8d4c-4872aee47fd9/12d43137-5f9b-42bd-b2fb-0eae9a6323b1/_pHge17PeCv0Q7ykb-8aNX4fgmg.jpg","https://platform.cstatic-images.com/large/in/v2/9369969c-a9f1-530d-8d4c-4872aee47fd9/12d43137-5f9b-42bd-b2fb-0eae9a6323b1/FsJgiOPY6MxL6jBYOKbwzbCliiA.jpg","https://platform.cstatic-images.com/large/in/v2/9369969c-a9f1-530d-8d4c-4872aee47fd9/12d43137-5f9b-42bd-b2fb-0eae9a6323b1/Kbf9b95GW5K96bnONrUgUFKCbG0.jpg","https://platform.cstatic-images.com/large/in/v2/9369969c-a9f1-530d-8d4c-4872aee47fd9/12d43137-5f9b-42bd-b2fb-0eae9a6323b1/bAMG1R4_X0OPjc0rN8kI-gb8UEA.jpg","https://platform.cstatic-images.com/large/in/v2/9369969c-a9f1-530d-8d4c-4872aee47fd9/12d43137-5f9b-42bd-b2fb-0eae9a6323b1/xPz_jYSjcAr5H_y0hAj-_Mx30OI.jpg","https://platform.cstatic-images.com/large/in/v2/9369969c-a9f1-530d-8d4c-4872aee47fd9/12d43137-5f9b-42bd-b2fb-0eae9a6323b1/NLwNWnbgzqXTTn32f-A64x4zwIo.jpg","$28,977","53,960 mi.","Est. $532/mo","https://www.cars.com/vehicledetail/1250543a-e49b-451c-99d0-ac3ea0f0d75e/?attribution_type=isa","Used 2019 Lexus RX 350 Base","Good Deal","Midtown Kia","4.5","Tulsa, OK (1,399 mi)","$325",""
"https://platform.cstatic-images.com/large/in/v2/991712d5-e3e3-5fd3-be61-59d4ef2f56bf/c5b0fff8-ed59-4f2e-a044-88cf67dbda1f/7UKI2FGfWrNvBNFGydWaoXjDQeU.jpg","https://platform.cstatic-images.com/large/in/v2/991712d5-e3e3-5fd3-be61-59d4ef2f56bf/c5b0fff8-ed59-4f2e-a044-88cf67dbda1f/9EV--R8xFgK4J-pUM_kWL2VRMe8.jpg","https://platform.cstatic-images.com/large/in/v2/991712d5-e3e3-5fd3-be61-59d4ef2f56bf/c5b0fff8-ed59-4f2e-a044-88cf67dbda1f/PsI31yz7It1mU2sCgpJ8Rfg2B3c.jpg","https://platform.cstatic-images.com/large/in/v2/991712d5-e3e3-5fd3-be61-59d4ef2f56bf/c5b0fff8-ed59-4f2e-a044-88cf67dbda1f/ZNi9QpiDqP7iD6HyvSZ_Ivhl3pQ.jpg","https://platform.cstatic-images.com/large/in/v2/991712d5-e3e3-5fd3-be61-59d4ef2f56bf/c5b0fff8-ed59-4f2e-a044-88cf67dbda1f/yDXi_kB7eBBOUO8FI5hjwRn7iAo.jpg","https://platform.cstatic-images.com/large/in/v2/991712d5-e3e3-5fd3-be61-59d4ef2f56bf/c5b0fff8-ed59-4f2e-a044-88cf67dbda1f/rZosNRm3WhHFnk3NAXG4bqf-kQ8.jpg","$10,991","162,870 mi.","Est. $202/mo","https://www.cars.com/vehicledetail/ba218392-3327-4ad1-9e78-20ea203ea445/","Used 2010 Lexus RX 350 Base","Good Deal","Group 1 Ford of Pensacola","4.7","Pensacola, FL (2,004 mi)","","High Demand"
"https://platform.cstatic-images.com/large/in/v2/aa18cc0f-1f79-5139-a140-a06c6cf9fc2d/3a27b2c6-4dcd-413c-a083-dca1e471f6a1/kzbxNAJoryxQJJ-t0SSJWIsc6w0.jpg","https://platform.cstatic-images.com/large/in/v2/aa18cc0f-1f79-5139-a140-a06c6cf9fc2d/3a27b2c6-4dcd-413c-a083-dca1e471f6a1/rPxzvUHQfJaxUDEQPfZQSy2pcqM.jpg","https://platform.cstatic-images.com/large/in/v2/aa18cc0f-1f79-5139-a140-a06c6cf9fc2d/3a27b2c6-4dcd-413c-a083-dca1e471f6a1/mrf4VDO0KafUTF53z2mBOoHDSxs.jpg","https://platform.cstatic-images.com/large/in/v2/aa18cc0f-1f79-5139-a140-a06c6cf9fc2d/3a27b2c6-4dcd-413c-a083-dca1e471f6a1/u6ZOJwnFVsZGF6P9pO9cannhC5E.jpg","https://platform.cstatic-images.com/large/in/v2/aa18cc0f-1f79-5139-a140-a06c6cf9fc2d/3a27b2c6-4dcd-413c-a083-dca1e471f6a1/zwDquXazqsRvBRc206OtqPkvjus.jpg","https://platform.cstatic-images.com/large/in/v2/aa18cc0f-1f79-5139-a140-a06c6cf9fc2d/3a27b2c6-4dcd-413c-a083-dca1e471f6a1/8Q2GCgQOv9WhGA4SlPdfW76ecks.jpg","$29,800","59,931 mi.","Est. $547/mo","https://www.cars.com/vehicledetail/93168ebe-ce9e-4ea1-bd8c-66f7a17691e6/","Used 2019 Lexus RX 350 Base","Good Deal","Hilton Head BMW","4.8","Bluffton, SC (2,300 mi)","",""
"https://platform.cstatic-images.com/large/in/v2/9509923d-2404-5334-b2b8-bfd7a33f5147/d26d08b9-3c41-4d10-998d-2d97faf3a448/14OzbNgyczwcisj915NltZsJqQI.jpg","https://platform.cstatic-images.com/large/in/v2/9509923d-2404-5334-b2b8-bfd7a33f5147/d26d08b9-3c41-4d10-998d-2d97faf3a448/3mD7IfGKlI14CVu6ypq0vvGxg5g.jpg","https://platform.cstatic-images.com/large/in/v2/9509923d-2404-5334-b2b8-bfd7a33f5147/d26d08b9-3c41-4d10-998d-2d97faf3a448/0RgaWaJMTpvcBI546tWPdWKNjg8.jpg","https://platform.cstatic-images.com/large/in/v2/9509923d-2404-5334-b2b8-bfd7a33f5147/d26d08b9-3c41-4d10-998d-2d97faf3a448/2rR04pzZag6a_24eFXmoqUxDFh8.jpg","https://platform.cstatic-images.com/large/in/v2/9509923d-2404-5334-b2b8-bfd7a33f5147/d26d08b9-3c41-4d10-998d-2d97faf3a448/0tQCMTnPBdg-QkrJXH7ZalipIag.jpg","","$32,376","71,508 mi.","Est. $595/mo","https://www.cars.com/vehicledetail/40e09773-7110-41e0-8b9b-2bf26ec9758a/","Used 2020 Lexus RX 350 Base","Good Deal","I-90 Nissan","4.4","Sheffield, OH (2,064 mi)","",""
"https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/f5af3337-d637-4ad7-b3d7-c51aa5e6fc3e/_RoAuA7SAAe_oHC7u8NKqMVOa9A.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/f5af3337-d637-4ad7-b3d7-c51aa5e6fc3e/ZxwORVyvauqhVJSmVETkjrGCmaQ.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/f5af3337-d637-4ad7-b3d7-c51aa5e6fc3e/cwlve7zMhlKSgOtftNJIQ_bGutc.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/f5af3337-d637-4ad7-b3d7-c51aa5e6fc3e/x4Qby_bt9FSEwLdelsQiN3ByFNY.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/f5af3337-d637-4ad7-b3d7-c51aa5e6fc3e/od5_NOtnDxiXNK0xiFmE0dySauM.jpg","https://platform.cstatic-images.com/large/in/v2/b109013f-b90a-51d7-a1cc-cf30b18f73c6/f5af3337-d637-4ad7-b3d7-c51aa5e6fc3e/bE3fhEzNwNnrOaIVRqZGIIWhgd0.jpg","$55,386","7,184 mi.","Est. $1,017/mo","https://www.cars.com/vehicledetail/f8701192-df4c-4092-bf0a-d0d2816f3172/","Used 2024 Lexus RX 350 Base","Fair Deal","Jim Norton Toyota OKC","","Oklahoma City, OK (1,315 mi)","",""
"https://platform.cstatic-images.com/large/in/v2/f6ff5e10-1044-53d3-9c80-cfb27f62140e/f9a51a8e-8152-4555-9926-4c5b7a2a4c4e/ThlAw4saUGy7tYXbKTqkzSGy-YU.jpg","https://platform.cstatic-images.com/large/in/v2/f6ff5e10-1044-53d3-9c80-cfb27f62140e/f9a51a8e-8152-4555-9926-4c5b7a2a4c4e/nygLk0N8UPaUEgpmk7dDpUBowzg.jpg","https://platform.cstatic-images.com/large/in/v2/f6ff5e10-1044-53d3-9c80-cfb27f62140e/f9a51a8e-8152-4555-9926-4c5b7a2a4c4e/-S8pydGyfyEV9kmpi_mSonzZ53o.jpg","https://platform.cstatic-images.com/large/in/v2/f6ff5e10-1044-53d3-9c80-cfb27f62140e/f9a51a8e-8152-4555-9926-4c5b7a2a4c4e/OVDuLgM_f9MRZOoTaLZvz0gyirk.jpg","https://platform.cstatic-images.com/large/in/v2/f6ff5e10-1044-53d3-9c80-cfb27f62140e/f9a51a8e-8152-4555-9926-4c5b7a2a4c4e/WpPT-buIxKwIM-QWT50nrtdqyYQ.jpg","https://platform.cstatic-images.com/large/in/v2/f6ff5e10-1044-53d3-9c80-cfb27f62140e/f9a51a8e-8152-4555-9926-4c5b7a2a4c4e/svBfyMDZs2HwOQluEmxK9q-lr4k.jpg","$50,998","16,091 mi.","Est. $937/mo","https://www.cars.com/vehicledetail/aedc9bd6-0d9f-4d0e-ab1d-67d86e7efadf/","Certified 2025 Lexus RX 350 Base","Great Deal","Lexus of Chattanooga","4.9","Chattanooga, TN (1,998 mi)","$1.2K","Certified Pre-Owned"
"https://platform.cstatic-images.com/large/in/v2/117669ff-b707-5396-848f-7ee93988695d/6256b043-58ed-466b-8dca-774dfa612f54/M9fyTibQJ-JF54Orqnu-HZp4bg4.jpg","https://platform.cstatic-images.com/large/in/v2/117669ff-b707-5396-848f-7ee93988695d/6256b043-58ed-466b-8dca-774dfa612f54/NG3SjS0zYZaxQf5BiW54bnKk14s.jpg","https://platform.cstatic-images.com/large/in/v2/117669ff-b707-5396-848f-7ee93988695d/6256b043-58ed-466b-8dca-774dfa612f54/QVhaYsX3cPWSylKRGl1TCjue2GA.jpg","https://platform.cstatic-images.com/large/in/v2/117669ff-b707-5396-848f-7ee93988695d/6256b043-58ed-466b-8dca-774dfa612f54/eNSiUJ-ltgUysKHdBusGHi_EA6c.jpg","https://platform.cstatic-images.com/large/in/v2/117669ff-b707-5396-848f-7ee93988695d/6256b043-58ed-466b-8dca-774dfa612f54/uxrNmJPyrKT-y9-Ucm84LJRBJfU.jpg","https://platform.cstatic-images.com/large/in/v2/117669ff-b707-5396-848f-7ee93988695d/6256b043-58ed-466b-8dca-774dfa612f54/HMtfb7o10TMx2Xeb4PRgU7kbdOo.jpg","$54,662","32,266 mi.","Est. $1,004/mo","https://www.cars.com/vehicledetail/9ced826b-d39c-47bb-9d48-284d6aab7c63/?attribution_type=isa","Certified 2023 Lexus RX 350 Luxury","Fair Deal","Jim Hudson Lexus Columbia","4.9","Columbia, SC (2,245 mi)","","Certified Pre-Owned"
"https://platform.cstatic-images.com/large/in/v2/f401a082-6b70-5b42-a863-6f18d706f72c/81fdabca-82ba-448e-b10d-f91b968cb260/6dOpFz-RmAcF1v07nr9naHFUk24.jpg","https://platform.cstatic-images.com/large/in/v2/f401a082-6b70-5b42-a863-6f18d706f72c/81fdabca-82ba-448e-b10d-f91b968cb260/hkvUyiaJVE_8pht4avQn8TWZ-XM.jpg","https://platform.cstatic-images.com/large/in/v2/f401a082-6b70-5b42-a863-6f18d706f72c/81fdabca-82ba-448e-b10d-f91b968cb260/GhBSMoJ5L6FxYggNsbM2GFzSNqY.jpg","https://platform.cstatic-images.com/large/in/v2/f401a082-6b70-5b42-a863-6f18d706f72c/81fdabca-82ba-448e-b10d-f91b968cb260/ssFdvJbJ09pnArlBOMxjCkbxkjE.jpg","https://platform.cstatic-images.com/large/in/v2/f401a082-6b70-5b42-a863-6f18d706f72c/81fdabca-82ba-448e-b10d-f91b968cb260/7W-Aty8WoxSBi5ArDFm0pkq9Hgw.jpg","https://platform.cstatic-images.com/large/in/v2/f401a082-6b70-5b42-a863-6f18d706f72c/81fdabca-82ba-448e-b10d-f91b968cb260/oqWSMOCGgbveZj9RReQtIRqyySQ.jpg","$31,292","31,358 mi.","Est. $575/mo","https://www.cars.com/vehicledetail/3c5c6215-d308-4ab0-a0f8-7dddc74a62d2/","Used 2021 Lexus RX 350 Base","Good Deal","Arrigo Dodge Chrysler Jeep Ram West Palm","4.3","West Palm Beach, FL (2,507 mi)","$2.6K",""
"https://platform.cstatic-images.com/large/in/v2/375435b6-0b36-53eb-a0f9-a43ec1e0bbfa/3310eed3-6a3d-4b1d-ab41-b4191a1dd2ce/lRHWIc4Ss6zeP32k4OJhnAwNYZ4.jpg","https://platform.cstatic-images.com/large/in/v2/375435b6-0b36-53eb-a0f9-a43ec1e0bbfa/3310eed3-6a3d-4b1d-ab41-b4191a1dd2ce/nVf0DXtHERFp_azFUsDoDph5Jg4.jpg","https://platform.cstatic-images.com/large/in/v2/375435b6-0b36-53eb-a0f9-a43ec1e0bbfa/3310eed3-6a3d-4b1d-ab41-b4191a1dd2ce/oIta4e0Z_SDNmofTvqLhEv8wqlQ.jpg","https://platform.cstatic-images.com/large/in/v2/375435b6-0b36-53eb-a0f9-a43ec1e0bbfa/3310eed3-6a3d-4b1d-ab41-b4191a1dd2ce/mvIvJqT8YMMmxXIWyl7Om8RYfJQ.jpg","https://platform.cstatic-images.com/large/in/v2/375435b6-0b36-53eb-a0f9-a43ec1e0bbfa/3310eed3-6a3d-4b1d-ab41-b4191a1dd2ce/kBEZAJdiHyY17iju5B9KcgbSVNY.jpg","https://platform.cstatic-images.com/large/in/v2/375435b6-0b36-53eb-a0f9-a43ec1e0bbfa/3310eed3-6a3d-4b1d-ab41-b4191a1dd2ce/aMsEqmkdMjdSOAaqOUVEyGLVuZc.jpg","$38,387","48,151 mi.","Est. $705/mo","https://www.cars.com/vehicledetail/a6e3f910-2a9d-432c-afd4-ee554b972534/","Used 2022 Lexus RX 350 Base","Good Deal","Gettel Chrysler Dodge Jeep RAM of Charlotte County","4.3","Punta Gorda, FL (2,398 mi)","$511",""
