"anchor href","image src","image src 2","image src 3","w_100%","d_inline-flex","d_inline-flex 2","textStyle_subHeader","textStyle_body","textStyle_body 3","textStyle_body 4","textStyle_body 5","c_grey","d_inline-flex 3"
"https://www.trulia.com/home/11909-rising-sun-way-gold-river-ca-95670-65235266","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/6fa4df937196486ced92694248bd3b5b-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/52784c84a292c5b80b8b4f2ea1c60185-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/a6fbccef0c2c13d51497a41e31f18044-full.webp","Use arrow keys to navigate","NEW","OPEN SUN, 1-4PM","$785,000","4","3","Baths","2,374","11909 Rising Sun Way, Gold River, CA 95670",""
"https://www.trulia.com/home/12685-ironbow-way-rancho-cordova-ca-95742-460230490","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/73f096f4d0e6d3fe30db962ecd20d35d-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ad3804fd46118649c0b489d219052c4b-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c4bce824ff0a8e1cbd7088f528f16dfb-full.webp","Use arrow keys to navigate","NEW - 3 HRS AGO","NEW CONSTRUCTION","$740,990","4","3.5","Baths","2,789","12685 Ironbow Way, Rancho Cordova, CA 95742","QUICK MOVE-IN"
"https://www.trulia.com/home/12664-ironbow-way-rancho-cordova-ca-95742-460230516","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/67d270864bcd0da9fb79c6c60f7de673-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ede2eec935f924f1e78d3b21010286cc-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c0c5755b3181d5745fb26daba7e83160-full.webp","Use arrow keys to navigate","NEW - 3 HRS AGO","NEW CONSTRUCTION","$595,347","4","2.5","Baths","1,879","12664 Ironbow Way, Rancho Cordova, CA 95742","QUICK MOVE-IN"
"https://www.trulia.com/builder-community-plan/riverblossom-at-montelena-plan-3-352855294","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/63e256a553913e4d39b90302251ed80b-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/fbe5d9e1ead3489902599a8eede54fc2-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/65df3c171c8eb8d08cadecd995c2a80c-full.webp","Use arrow keys to navigate","","NEW CONSTRUCTION","$595,305+","4","3","Baths","2,181","Plan 3 in Riverblossom at Montelena, Rancho Cordova, CA 95742","BUILDABLE PLAN"
"https://www.trulia.com/home/2129-kellogg-way-rancho-cordova-ca-95670-25856907","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/6767c53ce7766092543a923655bc9e38-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/899af595599b677493e94b043ee024b5-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/6a4e003a2f69ed09cdf5073fa70e72ef-full.webp","Use arrow keys to navigate","NEW - 21 HRS AGO","0.34 ACRES","$520,000","3","2","Baths","1,268","2129 Kellogg Way, Rancho Cordova, CA 95670",""
"https://www.trulia.com/home/3213-magicwoods-ct-sacramento-ca-95827-25895573","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/61c0d90c755b0636bdbb6d346e648965-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/4602212bd3ca51cacf7b7b6f29eb5506-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/db17380fb824c2805140e3ce2e388b53-full.webp","Use arrow keys to navigate","NEW - 21 HRS AGO","","$439,000","3","2","Baths","1,137","3213 Magicwoods Ct, Sacramento, CA 95827",""
"https://www.trulia.com/home/12175-coal-creek-way-rancho-cordova-ca-95742-2057331987","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/31f6eeea1f6dfbf92e0a4e41169f198c-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/e96ba9bedf4917c0054084d92223e5b5-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7e6d977e9444690424add07f9c048835-full.webp","Use arrow keys to navigate","NEW - 1 DAY AGO","","$540,000","3","2","Baths","1,727","12175 Coal Creek Way, Rancho Cordova, CA 95742",""
"https://www.trulia.com/builder-community-plan/azure-at-the-preserve-residence-2612-452291418","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/0b7e972c9e8d316aa59bfa1ff4ca8cc7-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/16fcefbf7586c24e304411ba8b3ac497-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/a825bd6079f89e8e7b5e3dbb8ea24f77-full.webp","Use arrow keys to navigate","NEW CONSTRUCTION","BUILDABLE PLAN","$680,990+","5","3","Baths","2,612","RESIDENCE 2612 Plan in The Preserve : Azure, Rancho Cordova, CA 95742",""
"https://www.trulia.com/home/10833-glenhaven-way-rancho-cordova-ca-95670-25860466","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/29d6c61e961e9637ee6bcfe6437c6fcd-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/6fca5ad157cb12340f1f5bbd44da918c-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/19a8e4ae0ef1862d0bd57cf54230a738-full.webp","Use arrow keys to navigate","NEW","OPEN FRI, 3-6PM","$630,000","5","3","Baths","2,184","10833 Glenhaven Way, Rancho Cordova, CA 95670",""
"https://www.trulia.com/home/11833-blushing-cir-rancho-cordova-ca-95742-66671609","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/24d4729fc4f3f8644b5366a2addd3bb7-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/4a9d5629c0223bf487fa09fc2040fb97-full.webp","https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/9069a830c75b8e55573b66aec710db3b-full.webp","Use arrow keys to navigate","NEW - 1 DAY AGO","","$685,000","4","3","Baths","3,070","11833 Blushing Cir, Rancho Cordova, CA 95742",""
