"company","job_link","role","location","location_link","remote/on-site","compensation","link","quick_apply"
"MVP Healthcare","https://www.ziprecruiter.com/co/MVP-Healthcare/Jobs?uuid=&radius=25","Payment Integrity Analyst - Data Mining & Savings Reporting","NY","https://www.ziprecruiter.com/jobs-search?location=New+York&search=Data","· Remote","$69.38K - $92.28K/yr","",""
"DataAnnotation","https://www.ziprecruiter.com/co/DataAnnotation/Jobs?uuid=dgOcU3bdXktu4%2FnCP%2FFGddG0bhM%3D&radius=25","Research Data Scientist - AI Trainer","Yuma, AZ","https://www.ziprecruiter.com/jobs-search?location=Yuma%2CAZ&search=Data","· Remote","$40 - $50/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/829fe1ea.jpeg","Quick apply"
"FM","https://www.ziprecruiter.com/co/FM/Jobs/-in-Johnston,RI?uuid=V8JV5LLGF9dRQs2%2Bp2%2FTRZGqubc%3D&radius=25","Data Scientist - Optimization and Advanced Machine Learning","Johnston, RI","https://www.ziprecruiter.com/jobs-search?location=Johnston%2CRI&search=Data","· On-site +1","$103.04K - $148.10K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/8c694572.png",""
"Robert Half","https://www.ziprecruiter.com/co/Robert-Half/Jobs?uuid=8WWYca8%2FldvdBzp3IfmAPRku04o%3D&radius=25","Financial Data Specialist","Trenton, NJ","https://www.ziprecruiter.com/jobs-search?location=Trenton%2CNJ&search=Data","· Remote","$17 - $18/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b1d2c8b4.jpeg","Quick apply"
"PulseMediaNL","https://www.ziprecruiter.com/co/PulseMediaNL/Jobs?uuid=&radius=25","Data Entry Specialist","Phoenix, AZ","https://www.ziprecruiter.com/jobs-search?location=Phoenix%2CAZ&search=Data","· Remote","$17.50 - $23.25/hr","","Quick apply"
"PIPESTONE","https://www.ziprecruiter.com/co/PIPESTONE/Jobs/-in-Brandon,SD?uuid=sz3pB52eytJGhVpHVaiy2Yf02Eg%3D&radius=25","Bilingual Data Entry Clerk","Brandon, SD","https://www.ziprecruiter.com/jobs-search?location=Brandon%2CSD&search=Data","· On-site +1","$20 - $22/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/6c05479c.png","Quick apply"
"Joint Research and Development, LLC","https://www.ziprecruiter.com/co/Joint-Research-and-Development,-LLC/Jobs?uuid=hkmIbY07i7ptnURAOZlJM%2BiVYnI%3D&radius=25","Operations/Data Analyst (Journeyman)","Nellis Air Force Base, NV","https://www.ziprecruiter.com/jobs-search?location=Nellis+Air+Force+Base%2CNV&search=Data","· Remote","$84K - $137K/yr","","Quick apply"
"SUMMERVINE","https://www.ziprecruiter.com/co/SUMMERVINE/Jobs?uuid=&radius=25","Data Entry Clerk","Sonoma, CA","https://www.ziprecruiter.com/jobs-search?location=Sonoma%2CCA&search=Data","· Remote","$70.90K - $98K/yr","","Quick apply"
"Halvik","https://www.ziprecruiter.com/co/Halvik/Jobs?uuid=N0fTuzryd9SWIJOJvh1guxZTpLM%3D&radius=25","Data Engineer","Vienna, VA","https://www.ziprecruiter.com/jobs-search?location=Vienna%2CVA&search=Data","· Remote","$85K - $95K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/32aafd49.png","Quick apply"
"Anyworks.in","https://www.ziprecruiter.com/co/Anyworks.in/Jobs?uuid=&radius=25","Data Analyst - Healthcare Domain","OR","https://www.ziprecruiter.com/jobs-search?location=Oregon&search=Data","· Remote","$70K - $140K/yr","","Quick apply"
"BWX Technologies","https://www.ziprecruiter.com/co/BWX-Technologies/Jobs/-in-Lynchburg,VA?uuid=fLEbzsXCRIWLK3pnZ8IlGSjCt0M%3D&radius=25","Engineering Data Scientist","Lynchburg, VA","https://www.ziprecruiter.com/jobs-search?location=Lynchburg%2CVA&search=Data","· On-site +1","$62K - $97K/yr","",""
"Technology Company","https://www.ziprecruiter.com/co/Technology-Company/Jobs?uuid=XDXKt8jUVRGdnkQze847i%2BGIPm0%3D&radius=25","Manager, Courthouse Field Data Operations","Fairfax, VA","https://www.ziprecruiter.com/jobs-search?location=Fairfax%2CVA&search=Data","· Remote","","","Quick apply"
"Objectways Technologies Llc","https://www.ziprecruiter.com/co/Objectways-Technologies-Llc/Jobs?uuid=&radius=25","Egocentric Data Collection","Phoenix, AZ","https://www.ziprecruiter.com/jobs-search?location=Phoenix%2CAZ&search=Data","· Remote","$20/hr","","Quick apply"
"NYSTEC","https://www.ziprecruiter.com/co/NYSTEC/Jobs/-in-Albany,NY?uuid=2xibiIzXE3NjJFaGUp4f63Smwx4%3D&radius=25","Senior Consultant - Data Analyst","Albany, NY","https://www.ziprecruiter.com/jobs-search?location=Albany%2CNY&search=Data","· On-site +1","$84.50K - $109.85K/yr","",""
"TCWGlobal","https://www.ziprecruiter.com/co/TCWGlobal/Jobs?uuid=dELib71KHpa1rIDfjdhcmWYIE9g%3D&radius=25","Retail Data Coordinator","Austin, TX","https://www.ziprecruiter.com/jobs-search?location=Austin%2CTX&search=Data","· Remote","$21 - $24/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/fb494aa8.jpeg","Quick apply"
"Skill","https://www.ziprecruiter.com/co/Skill/Jobs?uuid=&radius=25","Data Analyst 2","Los Angeles, CA","https://www.ziprecruiter.com/jobs-search?location=Los+Angeles%2CCA&search=Data","· Remote","$42 - $47/hr","",""
"The General Theological Seminary","https://www.ziprecruiter.com/co/The-General-Theological-Seminary/Jobs?uuid=XBPbsnL8MfGu3WJvzlaGa0aco8Y%3D&radius=25","Registrar and Data Manager of Student Records","Manhattan, NY","https://www.ziprecruiter.com/jobs-search?location=Manhattan%2CNY&search=Data","· Remote","$55K - $68K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/f0897518.png","Quick apply"
"Service Measure LLC","https://www.ziprecruiter.com/co/Service-Measure-LLC/Jobs?uuid=&radius=25","Driver / Data Collector","Binghamton, NY","https://www.ziprecruiter.com/jobs-search?location=Binghamton%2CNY&search=Data","· Remote","$16 - $17.50/hr","","Quick apply"
