"main href","swipe-wrap src","label","meta","result-posted-date","result-location","priceinfo"
"https://sfbay.craigslist.org/nby/cto/d/petaluma-2020-tesla-model-long-range/7920469548.html","https://images.craigslist.org/d/7920469548/00b0b_3TbpF1jy2GP_0ak07K_600x450.jpg","2020 Tesla Model Y Long Range Sport Utility 4D","102k mi","<1hr ago","petaluma","$16,500"
"https://sfbay.craigslist.org/pen/cto/d/south-san-francisco-2011-acura-tsx/7920469471.html","https://images.craigslist.org/d/7920469471/00202_f50yxZnPg37_12w0Mo_600x450.jpg","2011 Acura TSX  139,xxx miles only","140k mi","<1hr ago","south san francisco","$6,550"
"https://sfbay.craigslist.org/sby/cto/d/newark-2013-hyundai-santafee/7920469039.html","https://images.craigslist.org/d/7920469039/00R0R_h2wGPlaujJI_0hS0CI_600x450.jpg","2013 hyundaI santafee","253k mi","<1hr ago","Newark","$3,800"
"https://sfbay.craigslist.org/nby/cto/d/petaluma-1962-corvair-rampside-pickup/7920469012.html","https://images.craigslist.org/d/7920469012/00J0J_hTmHVE9pzsp_1320MM_600x450.jpg","1962 Corvair Rampside Pickup","65k mi","<1hr ago","petaluma","$2,200"
"https://sfbay.craigslist.org/eby/cto/d/walnut-creek-2020-ford-transit-connect/7920468615.html","https://images.craigslist.org/d/7920468615/00l0l_itZ4BrMxfJk_0CI0t2_600x450.jpg","2020 Ford Transit Connect Cargo Van With Rear Liftgate (1 Owner)","119k mi","<1hr ago","walnut creek","$12,900"
"https://sacramento.craigslist.org/cto/d/rio-linda-2014-fiat-500e-electric/7920468443.html","https://images.craigslist.org/d/7920468443/00303_idZqCrkSZhe_0zJ0CI_600x450.jpg","2014 Fiat 500e (Electric)","119k mi","<1hr ago","North Natomas","$1,275"
"https://sfbay.craigslist.org/nby/cto/d/santa-rosa-2000-mustang-gold-v6-runs/7920468222.html","https://images.craigslist.org/d/7920468222/00A0A_hbHkb9DhiEd_0t20CI_600x450.jpg","2000 MUSTANG, GOLD, V6 RUNS STRONG,","245k mi","<1hr ago","santa rosa","$4,300"
"https://sacramento.craigslist.org/cto/d/galt-2007-toyota-camry-ce/7920468108.html","https://images.craigslist.org/d/7920468108/00O0O_aJtxp3XcKOd_0t20CI_600x450.jpg","2007 Toyota Camry CE","265k mi","<1hr ago","galt","$1,250"
"https://sacramento.craigslist.org/ctd/d/sacramento-2002-toyota-sienna/7920468099.html","https://images.craigslist.org/d/7920468099/00S0S_7MNgDTuXMMZ_0CI0t2_600x450.jpg","2002 Toyota Sienna","189k mi","<1hr ago","Sacramento","$1,600"
"https://sacramento.craigslist.org/ctd/d/sacramento-2003-ford-ranger/7920468062.html","https://images.craigslist.org/d/7920468062/00303_jDi1Zc2Mmtu_0CI0t2_600x450.jpg","2003 Ford Ranger","223k mi","<1hr ago","Sacramento","$1,850"
"https://sacramento.craigslist.org/ctd/d/sacramento-2012-honda-civic/7920468010.html","https://images.craigslist.org/d/7920468010/00M0M_a7M1MMRvirk_0CI0t2_600x450.jpg","2012 HONDA Civic","131k mi","<1hr ago","$1000 Down payment to finance","$1,000"
"https://sacramento.craigslist.org/ctd/d/sacramento-2014-toyota-corolla/7920467986.html","https://images.craigslist.org/d/7920467986/00a0a_9MCv2FMdDIf_0CI0t2_600x450.jpg","2014 Toyota Corolla","146k mi","<1hr ago","$1000 Down payment to finance","$1,000"
"https://sacramento.craigslist.org/ctd/d/sacramento-2013-toyota-prius/7920467957.html","https://images.craigslist.org/d/7920467957/00L0L_aCYpJJWBh3X_0CI0t2_600x450.jpg","2013 Toyota Prius","156k mi","<1hr ago","$1000 Down payment to finance","$1,000"
"https://sfbay.craigslist.org/eby/cto/d/concord-2012-honda-accord-coupe/7920467938.html","","2012 Honda Accord Coupe","119k mi","<1hr ago","concord / pleasant hill / martinez","$11,000"
"https://reno.craigslist.org/cto/d/reno-2021-nissan-rogue-sv-sport-cyl-all/7920467937.html","https://images.craigslist.org/d/7920467937/00g0g_4NgrR9cRnIB_0Af0rb_600x450.jpg","2021 NISSAN ROGUE SV SPORT 4-CYL ALL WHEEL DRIVE","184k mi","<1hr ago","RENO","$8,995"
"https://sacramento.craigslist.org/ctd/d/sacramento-2014-toyota-corolla/7920467881.html","https://images.craigslist.org/d/7920467881/00L0L_fYMWzcoOYKO_0CI0t2_600x450.jpg","2014 Toyota Corolla","175k mi","<1hr ago","$1000 down payment to finance","$1,000"
"https://yubasutter.craigslist.org/ctd/d/rancho-cordova-2016-gmc-yukon-denali/7920467846.html","https://images.craigslist.org/d/7920467846/00j0j_5fpYzZxeIPt_0jm0cV_600x450.jpg","2016 GMC Yukon Denali","95k mi","<1hr ago","+ Used Auto World","$26,985"
"https://modesto.craigslist.org/ctd/d/rancho-cordova-2018-gmc-yukon-xl-sle/7920467839.html","https://images.craigslist.org/d/7920467839/00x0x_fSVZfHMMaol_0jm0cV_600x450.jpg","2018 GMC Yukon XL SLE","76k mi","<1hr ago","+ Used Auto World","$27,985"
"https://fresno.craigslist.org/ctd/d/rancho-cordova-2020-gmc-sierra-1500-at4/7920467829.html","https://images.craigslist.org/d/7920467829/00D0D_fNjth3uPdF3_0jm0cV_600x450.jpg","2020 GMC Sierra 1500 AT4","68k mi","<1hr ago","+ Used Auto World","$34,985"
"https://sfbay.craigslist.org/nby/cto/d/greenbrae-2021-ford-super-duty-lariat/7920467858.html","","2021 Ford Super Duty  Lariat ,F250 4x4 . 6.7 powerstroke","62k mi","<1hr ago","larkspur","$54,000"
"https://yubasutter.craigslist.org/ctd/d/rancho-cordova-2021-chevrolet-chevy/7920467819.html","https://images.craigslist.org/d/7920467819/00K0K_5ps8wB7f34B_0jm0cV_600x450.jpg","2021 Chevrolet Chevy Suburban RST","67k mi","<1hr ago","+ Used Auto World","$46,985"
"https://reno.craigslist.org/ctd/d/rancho-cordova-2020-gmc-sierra-1500-at4/7920467814.html","https://images.craigslist.org/d/7920467814/00D0D_fNjth3uPdF3_0jm0cV_600x450.jpg","2020 GMC Sierra 1500 AT4","68k mi","<1hr ago","+ Used Auto World","$34,985"
