"tw-object-cover src","tw-flex 3","tw-w-full","tw-text-[18px]"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94898_55fd%40a.jpg&w=3840&q=75","L","2022 Trek Slash 9.8 GX","$2,250"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94891_9aehk4.jpg&w=3840&q=75","L","2023 Santa Cruz 5010 S Carbon C","$2,230"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94886_ffa9s5.jpg&w=3840&q=75","M","2022 Scott Scale 930","$1,341"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241697_b91ksf.jpg&w=3840&q=75","M","2022 Rocky Mountain Instinct Carbon 50","$2,199"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94847_f84%40fa.jpg&w=3840&q=75","XL","1996 Gary Fisher Hoo Koo E Koo","$250"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94835_e1blaj.JPG&w=3840&q=75","M","2023 Trek Top Fuel 9.8 XT Di2 Gen 4","$2,500"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94828_73dah5.jpg&w=3840&q=75","L","2021 Specialized Stumpjumper EVO Expert","$1,170"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94819_4dbahh.jpeg&w=3840&q=75","M","2010 Kona One20 Primo","$700"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94817_f4ehas.jpg&w=3840&q=75","L","2023 Specialized Stumpjumper EVO Comp Carbon 29","$1,990"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94789_3a9gda.jpg&w=3840&q=75","M","2022 Scott Spark 930","$2,084"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94758_a19kfa.jpg&w=3840&q=75","M","2024 Santa Cruz Nomad S Carbon C","$3,200"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_221391_8b0jkh.jpg&w=3840&q=75","L","2016 Yeti Cycles SB6c - X01","$2,099"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94733_11fkfh.jpeg&w=3840&q=75","L","2021 Rocky Mountain Instinct Carbon 70","$2,377"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94726_847ksj.webp&w=3840&q=75","XL","2022 Canyon Lux CF SLX 9 LTD","$2,450"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94724_ab83hl.jpeg&w=3840&q=75","L","2021 Devinci Troy Carbon/Alu 29 NX/GX","$2,000"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94722_185a3h.jpg&w=3840&q=75","M","2013 Trek Superfly 100 (Gary Fisher Collection)","$500"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94711_73e5aa.jpeg&w=3840&q=75","M/L","2026 Trek Navigator 1.0 WSD - Women's","$150"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94710_151alf.jpg&w=3840&q=75","S","2025 Cannondale Habit Carbon 2","$2,195"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94695_639aaa.jpg&w=3840&q=75","M","2023 Trek roscoe 6","$670"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94630_4029%40d.jpeg&w=3840&q=75","L","2020 Scott Spark 950","$1,050"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94625_a6dfhf.jpg&w=3840&q=75","M","2024 Pivot Cycles Les (X0)","$3,999"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94618_261ddk.jpeg&w=3840&q=75","L","2022 Spot Rocker SS 29","$2,850"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2FmarketListingPTP%2FmarketListingPTP_94598_217jdf.webp&w=3840&q=75","M/L","2021 Trek Slash 9.9 XO1","$3,200"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_241921_a9c9da.jpg&w=3840&q=75","M","2024 Intense Cycles Sniper XC PRO","$3,599"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_239094_cd3ad5.jpg&w=3840&q=75","L","2024 Trek Slash 9 GX AXS T-Type Gen 6","$4,099"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238970_25f3la.jpg&w=3840&q=75","M","2023 Santa Cruz Megatower Carbon C S","$3,799.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238708_70fksf.jpg&w=3840&q=75","L","2024 Orbea Occam SL H30","$1,884.82"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238592_af26ll.jpg&w=3840&q=75","M","2024 Scott Genius ST 900 Tuned","$5,699.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238611_116sk3.jpg&w=3840&q=75","L","2023 Trek Supercaliber 9.9 XX1 AXS Gen 1","$5,999"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_237824_96bafk.jpeg&w=3840&q=75","M","2020 Scott Genius 950","$1,699"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238035_4c89hd.jpg&w=3840&q=75","L","2022 BMC Fourstroke 01 LT TWO","$3,674.72"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_238089_31blhh.jpeg&w=3840&q=75","L","2022 BMC Twostroke AL ONE","$949.05"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_237926_058lf5.jpeg&w=3840&q=75","XL","2022 SCOR 4060 ST","$2,268.3"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_235917_e13asa.jpg&w=3840&q=75","M","2022 Intense Cycles Sniper T","$4,385.34"
"https://www.bicyclebluebook.com/opt/_next/image/?url=https%3A%2F%2Fd1eye5spyas0l1.cloudfront.net%2Foriginal%2Fwarehouse%2Fwarehouse_236717_2b6d3f.jpg&w=3840&q=75","L","2023 Kona Hei Hei CR DL","$3,799.05"
