"product-link href","media-image__image src","product-link","money-amount__main","price-current__discount-percentage","money-amount__main 2"
"https://www.zara.com/us/en/basic-hoodie-sweatshirt-p00761370.html","https://static.zara.net/assets/public/0363/18a9/60e149328a0b/634299cd4403/00761370800-000-e1/00761370800-000-e1.jpg?ts=1754985838610&w=474","BASIC HOODIE SWEATSHIRT","$ 49.90","-40%","$ 29.94"
"https://www.zara.com/us/en/basic-hoodie-sweatshirt-p00761370.html","https://static.zara.net/assets/public/cb89/37b6/57d240fcba99/61784a8f37b2/00761410898-e1/00761410898-e1.jpg?ts=1763046714141&w=474","BASIC HOODIE SWEATSHIRT","$ 49.90","-40%","$ 29.94"
"https://www.zara.com/us/en/wide-fit-pleated-pants-p05070401.html","https://static.zara.net/assets/public/10f5/de1e/6fe745dba941/cc4e3bdeec2d/05320401802-e1/05320401802-e1.jpg?ts=1768408533199&w=474","WIDE FIT PLEATED PANTS","$ 59.90","-40%","$ 35.94"
"https://www.zara.com/us/en/relaxed-fit-cargo-pants-p00108310.html","https://static.zara.net/assets/public/e99a/898e/565148139430/de54f46311c5/00108310800-e1/00108310800-e1.jpg?ts=1756363289055&w=474","RELAXED FIT CARGO PANTS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/casual-leather-shoes-p12439720.html","https://static.zara.net/assets/public/5c1e/6a22/29f1402ea338/423875e01e6b/12439720400-e1/12439720400-e1.jpg?ts=1763051990551&w=474","CASUAL LEATHER SHOES","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/casual-leather-boots-p12006720.html","https://static.zara.net/assets/public/98cf/56d8/c3824487a01e/1ab1562f6042/12006720700-e1/12006720700-e1.jpg?ts=1759478667355&w=474","CASUAL LEATHER BOOTS","$ 109.00","-40%","$ 65.40"
"https://www.zara.com/us/en/casual-leather-boots-p12006720.html","https://static.zara.net/assets/public/ad04/6193/86ac4447a896/c1e83953a4d6/12006720102-e1/12006720102-e1.jpg?ts=1759407325607&w=474","CASUAL LEATHER BOOTS","$ 109.00","-40%","$ 65.40"
"https://www.zara.com/us/en/leather-sneakers-p12228720.html","https://static.zara.net/assets/public/4dfc/81e2/d627423cbee0/3bdfc97da127/12228720032-e1/12228720032-e1.jpg?ts=1759744743696&w=474","LEATHER SNEAKERS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/rigid-crossbody-bag-p13611720.html","https://static.zara.net/assets/public/3cf7/e725/7b2543679a10/e23f66bdb7fc/13611720800-e1/13611720800-e1.jpg?ts=1768390637336&w=474","RIGID CROSSBODY BAG","$ 39.90","-40%","$ 23.94"
"https://www.zara.com/us/en/textured-flap-crossbody-bag-p13620720.html","https://static.zara.net/assets/public/8c18/6802/bb2d474a86ca/ab8447274b23/13620720800-e1/13620720800-e1.jpg?ts=1770902306108&w=474","TEXTURED FLAP CROSSBODY BAG","$ 49.90","-40%","$ 29.94"
